Index,Start,Time,Type,Data,
0,253.435725 ms,8.7 ¦Ìs,RX data,24,
1,253.446575 ms,8.7 ¦Ìs,RX data,47,
2,253.457425 ms,8.7 ¦Ìs,RX data,4E,
3,253.468275 ms,8.7 ¦Ìs,RX data,54,
4,253.479125 ms,8.7 ¦Ìs,RX data,58,
5,253.48995 ms,8.7 ¦Ìs,RX data,54,
6,253.5008 ms,8.7 ¦Ìs,RX data,2C,
7,253.511675 ms,8.7 ¦Ìs,RX data,30,
8,253.5225 ms,8.7 ¦Ìs,RX data,31,
9,253.53335 ms,8.7 ¦Ìs,RX data,2C,
10,253.5442 ms,8.7 ¦Ìs,RX data,30,
11,253.55505 ms,8.7 ¦Ìs,RX data,31,
12,253.5659 ms,8.7 ¦Ìs,RX data,2C,
13,253.57675 ms,8.7 ¦Ìs,RX data,30,
14,253.587575 ms,8.7 ¦Ìs,RX data,32,
15,253.59845 ms,8.7 ¦Ìs,RX data,2C,
16,253.6093 ms,8.7 ¦Ìs,RX data,75,
17,253.620125 ms,8.7 ¦Ìs,RX data,2D,
18,253.630975 ms,8.7 ¦Ìs,RX data,62,
19,253.641825 ms,8.7 ¦Ìs,RX data,6C,
20,253.652675 ms,8.7 ¦Ìs,RX data,6F,
21,253.663525 ms,8.7 ¦Ìs,RX data,78,
22,253.674375 ms,8.7 ¦Ìs,RX data,20,
23,253.685225 ms,8.7 ¦Ìs,RX data,41,
24,253.696075 ms,8.7 ¦Ìs,RX data,47,
25,253.706925 ms,8.7 ¦Ìs,RX data,20,
26,253.71775 ms,8.7 ¦Ìs,RX data,2D,
27,253.7286 ms,8.7 ¦Ìs,RX data,20,
28,253.73945 ms,8.7 ¦Ìs,RX data,77,
29,253.7503 ms,8.7 ¦Ìs,RX data,77,
30,253.76115 ms,8.7 ¦Ìs,RX data,77,
31,253.772 ms,8.7 ¦Ìs,RX data,2E,
32,253.78285 ms,8.7 ¦Ìs,RX data,75,
33,253.7937 ms,8.7 ¦Ìs,RX data,2D,
34,253.80455 ms,8.7 ¦Ìs,RX data,62,
35,253.815375 ms,8.7 ¦Ìs,RX data,6C,
36,253.82625 ms,8.7 ¦Ìs,RX data,6F,
37,253.837075 ms,8.7 ¦Ìs,RX data,78,
38,253.847925 ms,8.7 ¦Ìs,RX data,2E,
39,253.858775 ms,8.7 ¦Ìs,RX data,63,
40,253.869625 ms,8.7 ¦Ìs,RX data,6F,
41,253.880475 ms,8.7 ¦Ìs,RX data,6D,
42,253.891325 ms,8.7 ¦Ìs,RX data,2A,
43,253.902175 ms,8.7 ¦Ìs,RX data,34,
44,253.913025 ms,8.7 ¦Ìs,RX data,45,
45,253.923875 ms,8.7 ¦Ìs,RX data,0D,
46,253.934725 ms,8.7 ¦Ìs,RX data,0A,
47,253.94555 ms,8.7 ¦Ìs,RX data,24,
48,253.9564 ms,8.7 ¦Ìs,RX data,47,
49,253.96725 ms,8.7 ¦Ìs,RX data,4E,
50,253.9781 ms,8.7 ¦Ìs,RX data,54,
51,253.98895 ms,8.7 ¦Ìs,RX data,58,
52,253.9998 ms,8.7 ¦Ìs,RX data,54,
53,254.01065 ms,8.7 ¦Ìs,RX data,2C,
54,254.0215 ms,8.7 ¦Ìs,RX data,30,
55,254.03235 ms,8.7 ¦Ìs,RX data,31,
56,254.043175 ms,8.7 ¦Ìs,RX data,2C,
57,254.05405 ms,8.7 ¦Ìs,RX data,30,
58,254.064875 ms,8.7 ¦Ìs,RX data,31,
59,254.075725 ms,8.7 ¦Ìs,RX data,2C,
60,254.086575 ms,8.7 ¦Ìs,RX data,30,
61,254.097425 ms,8.7 ¦Ìs,RX data,32,
62,254.108275 ms,8.7 ¦Ìs,RX data,2C,
63,254.119125 ms,8.7 ¦Ìs,RX data,48,
64,254.129975 ms,8.7 ¦Ìs,RX data,57,
65,254.1408 ms,8.7 ¦Ìs,RX data,20,
66,254.151675 ms,8.7 ¦Ìs,RX data,55,
67,254.1625 ms,8.7 ¦Ìs,RX data,42,
68,254.17335 ms,8.7 ¦Ìs,RX data,58,
69,254.1842 ms,8.7 ¦Ìs,RX data,20,
70,254.19505 ms,8.7 ¦Ìs,RX data,31,
71,254.2059 ms,8.7 ¦Ìs,RX data,30,
72,254.21675 ms,8.7 ¦Ìs,RX data,20,
73,254.2276 ms,8.7 ¦Ìs,RX data,30,
74,254.23845 ms,8.7 ¦Ìs,RX data,30,
75,254.2493 ms,8.7 ¦Ìs,RX data,30,
76,254.260125 ms,8.7 ¦Ìs,RX data,41,
77,254.270975 ms,8.7 ¦Ìs,RX data,30,
78,254.28185 ms,8.7 ¦Ìs,RX data,30,
79,254.292675 ms,8.7 ¦Ìs,RX data,30,
80,254.303525 ms,8.7 ¦Ìs,RX data,30,
81,254.314375 ms,8.7 ¦Ìs,RX data,2A,
82,254.325225 ms,8.7 ¦Ìs,RX data,35,
83,254.336075 ms,8.7 ¦Ìs,RX data,33,
84,254.346925 ms,8.7 ¦Ìs,RX data,0D,
85,254.35775 ms,8.7 ¦Ìs,RX data,0A,
86,254.3686 ms,8.7 ¦Ìs,RX data,24,
87,254.379475 ms,8.7 ¦Ìs,RX data,47,
88,254.3903 ms,8.7 ¦Ìs,RX data,4E,
89,254.40115 ms,8.7 ¦Ìs,RX data,54,
90,254.412 ms,8.7 ¦Ìs,RX data,58,
91,254.42285 ms,8.7 ¦Ìs,RX data,54,
92,254.4337 ms,8.7 ¦Ìs,RX data,2C,
93,254.44455 ms,8.7 ¦Ìs,RX data,30,
94,254.4554 ms,8.7 ¦Ìs,RX data,31,
95,254.46625 ms,8.7 ¦Ìs,RX data,2C,
96,254.4771 ms,8.7 ¦Ìs,RX data,30,
97,254.487925 ms,8.7 ¦Ìs,RX data,31,
98,254.498775 ms,8.7 ¦Ìs,RX data,2C,
99,254.50965 ms,8.7 ¦Ìs,RX data,30,
100,254.520475 ms,8.7 ¦Ìs,RX data,32,
101,254.531325 ms,8.7 ¦Ìs,RX data,2C,
102,254.542175 ms,8.7 ¦Ìs,RX data,52,
103,254.553025 ms,8.7 ¦Ìs,RX data,4F,
104,254.563875 ms,8.7 ¦Ìs,RX data,4D,
105,254.574725 ms,8.7 ¦Ìs,RX data,20,
106,254.58555 ms,8.7 ¦Ìs,RX data,53,
107,254.5964 ms,8.7 ¦Ìs,RX data,50,
108,254.607275 ms,8.7 ¦Ìs,RX data,47,
109,254.6181 ms,8.7 ¦Ìs,RX data,20,
110,254.62895 ms,8.7 ¦Ìs,RX data,35,
111,254.6398 ms,8.7 ¦Ìs,RX data,2E,
112,254.65065 ms,8.7 ¦Ìs,RX data,31,
113,254.6615 ms,8.7 ¦Ìs,RX data,30,
114,254.67235 ms,8.7 ¦Ìs,RX data,20,
115,254.683175 ms,8.7 ¦Ìs,RX data,28,
116,254.69405 ms,8.7 ¦Ìs,RX data,37,
117,254.7049 ms,8.7 ¦Ìs,RX data,62,
118,254.715725 ms,8.7 ¦Ìs,RX data,32,
119,254.726575 ms,8.7 ¦Ìs,RX data,30,
120,254.737425 ms,8.7 ¦Ìs,RX data,32,
121,254.748275 ms,8.7 ¦Ìs,RX data,65,
122,254.759125 ms,8.7 ¦Ìs,RX data,29,
123,254.769975 ms,8.7 ¦Ìs,RX data,2A,
124,254.7808 ms,8.7 ¦Ìs,RX data,37,
125,254.791675 ms,8.7 ¦Ìs,RX data,43,
126,254.802525 ms,8.7 ¦Ìs,RX data,0D,
127,254.81335 ms,8.7 ¦Ìs,RX data,0A,
128,254.8242 ms,8.7 ¦Ìs,RX data,24,
129,254.835075 ms,8.7 ¦Ìs,RX data,47,
130,254.8459 ms,8.7 ¦Ìs,RX data,4E,
131,254.85675 ms,8.7 ¦Ìs,RX data,54,
132,254.8676 ms,8.7 ¦Ìs,RX data,58,
133,254.87845 ms,8.7 ¦Ìs,RX data,54,
