Index,Start,Time,Type,Data,
0,253.921775 ms,8.7 ¦Ìs,RX data,24,
1,253.9326 ms,8.7 ¦Ìs,RX data,47,
2,253.94345 ms,8.7 ¦Ìs,RX data,4E,
3,253.9543 ms,8.7 ¦Ìs,RX data,54,
4,253.96515 ms,8.7 ¦Ìs,RX data,58,
5,253.976 ms,8.7 ¦Ìs,RX data,54,
6,253.98685 ms,8.7 ¦Ìs,RX data,2C,
7,253.9977 ms,8.7 ¦Ìs,RX data,30,
8,254.00855 ms,8.7 ¦Ìs,RX data,31,
9,254.0194 ms,8.7 ¦Ìs,RX data,2C,
10,254.030225 ms,8.7 ¦Ìs,RX data,30,
11,254.041075 ms,8.7 ¦Ìs,RX data,31,
12,254.051925 ms,8.7 ¦Ìs,RX data,2C,
13,254.062775 ms,8.7 ¦Ìs,RX data,30,
14,254.073625 ms,8.7 ¦Ìs,RX data,32,
15,254.084475 ms,8.7 ¦Ìs,RX data,2C,
16,254.095325 ms,8.7 ¦Ìs,RX data,75,
17,254.106175 ms,8.7 ¦Ìs,RX data,2D,
18,254.117025 ms,8.7 ¦Ìs,RX data,62,
19,254.12785 ms,8.7 ¦Ìs,RX data,6C,
20,254.1387 ms,8.7 ¦Ìs,RX data,6F,
21,254.149575 ms,8.7 ¦Ìs,RX data,78,
22,254.1604 ms,8.7 ¦Ìs,RX data,20,
23,254.17125 ms,8.7 ¦Ìs,RX data,41,
24,254.1821 ms,8.7 ¦Ìs,RX data,47,
25,254.19295 ms,8.7 ¦Ìs,RX data,20,
26,254.2038 ms,8.7 ¦Ìs,RX data,2D,
27,254.21465 ms,8.7 ¦Ìs,RX data,20,
28,254.2255 ms,8.7 ¦Ìs,RX data,77,
29,254.23635 ms,8.7 ¦Ìs,RX data,77,
30,254.2472 ms,8.7 ¦Ìs,RX data,77,
31,254.258025 ms,8.7 ¦Ìs,RX data,2E,
32,254.268875 ms,8.7 ¦Ìs,RX data,75,
33,254.279725 ms,8.7 ¦Ìs,RX data,2D,
34,254.290575 ms,8.7 ¦Ìs,RX data,62,
35,254.301425 ms,8.7 ¦Ìs,RX data,6C,
36,254.312275 ms,8.7 ¦Ìs,RX data,6F,
37,254.323125 ms,8.7 ¦Ìs,RX data,78,
38,254.333975 ms,8.7 ¦Ìs,RX data,2E,
39,254.344825 ms,8.7 ¦Ìs,RX data,63,
40,254.35565 ms,8.7 ¦Ìs,RX data,6F,
41,254.3665 ms,8.7 ¦Ìs,RX data,6D,
42,254.377375 ms,8.7 ¦Ìs,RX data,2A,
43,254.3882 ms,8.7 ¦Ìs,RX data,34,
44,254.39905 ms,8.7 ¦Ìs,RX data,45,
45,254.4099 ms,8.7 ¦Ìs,RX data,0D,
46,254.42075 ms,8.7 ¦Ìs,RX data,0A,
47,254.4316 ms,8.7 ¦Ìs,RX data,24,
48,254.44245 ms,8.7 ¦Ìs,RX data,47,
49,254.453275 ms,8.7 ¦Ìs,RX data,4E,
50,254.464125 ms,8.7 ¦Ìs,RX data,54,
