Index,Start,Time,Type,Data,
0,1.725 ¦Ìs,8.7 ¦Ìs,RX data,00,
1,14.125 ¦Ìs,8.7 ¦Ìs,RX data,DC,
2,254.05175 ms,8.7 ¦Ìs,RX data,00,
3,254.0626 ms,8.7 ¦Ìs,RX data,00,
4,254.07345 ms,8.7 ¦Ìs,RX data,00,
5,254.0843 ms,8.7 ¦Ìs,RX data,00,
6,254.09515 ms,8.7 ¦Ìs,RX data,00,
7,254.106 ms,8.7 ¦Ìs,RX data,00,
8,254.11685 ms,8.7 ¦Ìs,RX data,00,
9,254.1277 ms,8.7 ¦Ìs,RX data,00,
10,254.13855 ms,8.7 ¦Ìs,RX data,00,
11,254.1494 ms,8.7 ¦Ìs,RX data,00,
12,254.188075 ms,8.7 ¦Ìs,RX data,00,
13,254.1989 ms,8.7 ¦Ìs,RX data,00,
14,254.43185 ms,8.7 ¦Ìs,RX data,00,
15,254.4427 ms,8.7 ¦Ìs,RX data,00,
16,254.45355 ms,8.7 ¦Ìs,RX data,00,
17,254.4644 ms,8.7 ¦Ìs,RX data,00,
18,254.47525 ms,8.7 ¦Ìs,RX data,00,
19,254.4861 ms,8.7 ¦Ìs,RX data,00,
20,254.49695 ms,8.7 ¦Ìs,RX data,00,
21,254.5078 ms,8.7 ¦Ìs,RX data,00,
22,254.51865 ms,8.7 ¦Ìs,RX data,00,
23,254.5295 ms,8.7 ¦Ìs,RX data,00,
24,254.641725 ms,8.7 ¦Ìs,RX data,00,
25,254.652575 ms,8.7 ¦Ìs,RX data,00,
26,254.663425 ms,8.7 ¦Ìs,RX data,00,
27,254.674275 ms,8.7 ¦Ìs,RX data,00,
28,254.685125 ms,8.7 ¦Ìs,RX data,00,
29,254.695975 ms,8.7 ¦Ìs,RX data,00,
30,254.706825 ms,8.7 ¦Ìs,RX data,00,
31,254.717675 ms,8.7 ¦Ìs,RX data,00,
32,254.728525 ms,8.7 ¦Ìs,RX data,00,
33,254.739375 ms,8.7 ¦Ìs,RX data,00,
34,254.83445 ms,8.7 ¦Ìs,RX data,00,
35,254.8453 ms,8.7 ¦Ìs,RX data,00,
36,254.85615 ms,8.7 ¦Ìs,RX data,00,
37,254.867 ms,8.7 ¦Ìs,RX data,00,
38,254.87785 ms,8.7 ¦Ìs,RX data,00,
39,254.8887 ms,8.7 ¦Ìs,RX data,00,
40,254.89955 ms,8.7 ¦Ìs,RX data,00,
41,254.9104 ms,8.7 ¦Ìs,RX data,00,
42,254.92125 ms,8.7 ¦Ìs,RX data,00,
43,254.9321 ms,8.7 ¦Ìs,RX data,00,
44,255.0427 ms,8.7 ¦Ìs,RX data,81,
45,255.05355 ms,8.7 ¦Ìs,RX data,00,
46,255.0644 ms,8.7 ¦Ìs,RX data,00,
47,255.07525 ms,8.7 ¦Ìs,RX data,00,
48,255.0861 ms,8.7 ¦Ìs,RX data,00,
49,255.09695 ms,8.7 ¦Ìs,RX data,00,
50,255.1078 ms,8.7 ¦Ìs,RX data,00,
51,255.11865 ms,8.7 ¦Ìs,RX data,00,
52,255.1295 ms,8.7 ¦Ìs,RX data,00,
53,255.238425 ms,8.7 ¦Ìs,RX data,00,
54,255.249275 ms,8.7 ¦Ìs,RX data,00,
55,255.260125 ms,8.7 ¦Ìs,RX data,0A,
56,255.270975 ms,8.7 ¦Ìs,RX data,00,
57,255.281825 ms,8.7 ¦Ìs,RX data,00,
58,255.292675 ms,8.7 ¦Ìs,RX data,00,
59,255.303525 ms,8.7 ¦Ìs,RX data,00,
60,255.314375 ms,8.7 ¦Ìs,RX data,00,
61,255.325225 ms,8.7 ¦Ìs,RX data,00,
62,255.336075 ms,8.7 ¦Ìs,RX data,00,
63,255.428625 ms,8.7 ¦Ìs,RX data,00,
64,255.439475 ms,8.7 ¦Ìs,RX data,00,
65,255.450325 ms,8.7 ¦Ìs,RX data,00,
66,255.461175 ms,8.7 ¦Ìs,RX data,00,
67,255.472025 ms,8.7 ¦Ìs,RX data,00,
68,255.482875 ms,8.7 ¦Ìs,RX data,00,
69,255.493725 ms,8.7 ¦Ìs,RX data,00,
70,255.504575 ms,8.7 ¦Ìs,RX data,00,
71,255.515425 ms,8.7 ¦Ìs,RX data,00,
72,255.526275 ms,8.7 ¦Ìs,RX data,00,
73,255.6185 ms,8.7 ¦Ìs,RX data,00,
74,255.629375 ms,8.7 ¦Ìs,RX data,00,
75,255.6402 ms,8.7 ¦Ìs,RX data,00,
76,255.651075 ms,8.7 ¦Ìs,RX data,00,
77,255.6619 ms,8.7 ¦Ìs,RX data,00,
78,255.672775 ms,8.7 ¦Ìs,RX data,00,
79,255.6836 ms,8.7 ¦Ìs,RX data,00,
80,255.694475 ms,8.7 ¦Ìs,RX data,00,
81,255.7053 ms,8.7 ¦Ìs,RX data,00,
82,255.716175 ms,8.7 ¦Ìs,RX data,00,
83,255.82155 ms,8.7 ¦Ìs,RX data,00,
84,255.8324 ms,8.7 ¦Ìs,RX data,00,
85,255.84325 ms,8.7 ¦Ìs,RX data,00,
86,255.8541 ms,8.7 ¦Ìs,RX data,00,
87,255.86495 ms,8.7 ¦Ìs,RX data,00,
88,255.8758 ms,8.7 ¦Ìs,RX data,00,
89,255.88665 ms,8.7 ¦Ìs,RX data,00,
90,255.8975 ms,8.7 ¦Ìs,RX data,00,
91,255.90835 ms,8.7 ¦Ìs,RX data,00,
92,255.9192 ms,8.7 ¦Ìs,RX data,00,
93,256.037 ms,8.7 ¦Ìs,RX data,00,
94,256.047825 ms,8.7 ¦Ìs,RX data,00,
95,256.0587 ms,8.7 ¦Ìs,RX data,00,
96,256.069525 ms,8.7 ¦Ìs,RX data,00,
97,256.0804 ms,8.7 ¦Ìs,RX data,00,
98,256.091225 ms,8.7 ¦Ìs,RX data,00,
99,256.1021 ms,8.7 ¦Ìs,RX data,00,
100,256.112925 ms,8.7 ¦Ìs,RX data,00,
101,256.1238 ms,8.7 ¦Ìs,RX data,00,
102,256.134625 ms,8.7 ¦Ìs,RX data,00,
103,256.230525 ms,8.7 ¦Ìs,RX data,00,
104,256.241375 ms,8.7 ¦Ìs,RX data,00,
105,256.252225 ms,8.7 ¦Ìs,RX data,00,
106,256.263075 ms,8.7 ¦Ìs,RX data,00,
107,256.273925 ms,8.7 ¦Ìs,RX data,00,
108,256.284775 ms,8.7 ¦Ìs,RX data,00,
109,256.295625 ms,8.7 ¦Ìs,RX data,00,
110,256.306475 ms,8.7 ¦Ìs,RX data,00,
111,256.317325 ms,8.7 ¦Ìs,RX data,00,
112,256.328175 ms,8.7 ¦Ìs,RX data,00,
113,256.422775 ms,8.7 ¦Ìs,RX data,00,
114,256.433625 ms,8.7 ¦Ìs,RX data,00,
115,256.444475 ms,8.7 ¦Ìs,RX data,00,
116,256.455325 ms,8.7 ¦Ìs,RX data,00,
117,256.466175 ms,8.7 ¦Ìs,RX data,00,
118,256.477025 ms,8.7 ¦Ìs,RX data,00,
119,256.487875 ms,8.7 ¦Ìs,RX data,00,
120,256.498725 ms,8.7 ¦Ìs,RX data,00,
121,256.509575 ms,8.7 ¦Ìs,RX data,00,
122,256.520425 ms,8.7 ¦Ìs,RX data,00,
123,256.61775 ms,8.7 ¦Ìs,RX data,00,
124,256.628575 ms,8.7 ¦Ìs,RX data,00,
125,256.63945 ms,8.7 ¦Ìs,RX data,00,
126,256.650275 ms,8.7 ¦Ìs,RX data,00,
127,256.66115 ms,8.7 ¦Ìs,RX data,00,
128,256.671975 ms,8.7 ¦Ìs,RX data,00,
