Index,Start,Time,Type,Data,
0,1.6 ¦Ìs,8.7 ¦Ìs,RX data,00,
1,20.475 ¦Ìs,8.7 ¦Ìs,RX data,98,
2,265.6802 ms,8.7 ¦Ìs,RX data,00,
3,265.69105 ms,8.7 ¦Ìs,RX data,00,
4,265.815075 ms,8.7 ¦Ìs,RX data,00,
5,265.825925 ms,8.7 ¦Ìs,RX data,00,
6,265.921275 ms,8.7 ¦Ìs,RX data,00,
7,265.932125 ms,8.7 ¦Ìs,RX data,00,
8,266.025175 ms,8.7 ¦Ìs,RX data,00,
9,266.036025 ms,8.7 ¦Ìs,RX data,00,
10,266.1283 ms,8.7 ¦Ìs,RX data,00,
11,266.13915 ms,8.7 ¦Ìs,RX data,00,
12,266.2316 ms,8.7 ¦Ìs,RX data,00,
13,266.3352 ms,8.7 ¦Ìs,RX data,00,
14,266.437475 ms,8.7 ¦Ìs,RX data,00,
15,266.448325 ms,8.7 ¦Ìs,RX data,00,
16,266.539725 ms,8.7 ¦Ìs,RX data,00,
17,266.643625 ms,8.7 ¦Ìs,RX data,00,
18,266.74805 ms,8.7 ¦Ìs,RX data,00,
19,266.7589 ms,8.7 ¦Ìs,RX data,00,
20,266.8512 ms,8.7 ¦Ìs,RX data,00,
21,266.9542 ms,8.7 ¦Ìs,RX data,00,
22,267.056675 ms,8.7 ¦Ìs,RX data,00,
23,267.15955 ms,8.7 ¦Ìs,RX data,00,
24,267.2618 ms,8.7 ¦Ìs,RX data,00,
25,267.27265 ms,8.7 ¦Ìs,RX data,00,
26,267.36345 ms,8.7 ¦Ìs,RX data,00,
27,267.4674 ms,8.7 ¦Ìs,RX data,00,
28,267.5711 ms,8.7 ¦Ìs,RX data,00,
29,267.67405 ms,8.7 ¦Ìs,RX data,00,
30,267.77555 ms,8.7 ¦Ìs,RX data,00,
31,267.7864 ms,8.7 ¦Ìs,RX data,00,
32,267.878825 ms,8.7 ¦Ìs,RX data,00,
33,267.9826 ms,8.7 ¦Ìs,RX data,00,
34,268.085475 ms,8.7 ¦Ìs,RX data,00,
35,268.1884 ms,8.7 ¦Ìs,RX data,00,
36,268.291675 ms,8.7 ¦Ìs,RX data,00,
37,268.393875 ms,8.7 ¦Ìs,RX data,00,
38,268.4975 ms,8.7 ¦Ìs,RX data,00,
39,268.50835 ms,8.7 ¦Ìs,RX data,00,
40,268.59915 ms,8.7 ¦Ìs,RX data,00,
41,268.7023 ms,8.7 ¦Ìs,RX data,00,
42,268.804625 ms,8.7 ¦Ìs,RX data,00,
43,268.815475 ms,8.7 ¦Ìs,RX data,00,
44,268.9062 ms,8.7 ¦Ìs,RX data,00,
45,269.009825 ms,8.7 ¦Ìs,RX data,00,
46,269.113775 ms,8.7 ¦Ìs,RX data,00,
47,269.215225 ms,8.7 ¦Ìs,RX data,00,
48,269.318225 ms,8.7 ¦Ìs,RX data,00,
49,269.329075 ms,8.7 ¦Ìs,RX data,00,
50,269.421375 ms,8.7 ¦Ìs,RX data,00,
51,269.52385 ms,8.7 ¦Ìs,RX data,00,
52,269.6261 ms,8.7 ¦Ìs,RX data,00,
53,269.728975 ms,8.7 ¦Ìs,RX data,00,
54,269.831925 ms,8.7 ¦Ìs,RX data,00,
55,269.842775 ms,8.7 ¦Ìs,RX data,00,
56,269.93425 ms,8.7 ¦Ìs,RX data,00,
57,269.9451 ms,8.7 ¦Ìs,RX data,00,
58,270.03725 ms,8.7 ¦Ìs,RX data,00,
59,270.139525 ms,8.7 ¦Ìs,RX data,00,
60,270.24245 ms,8.7 ¦Ìs,RX data,00,
61,270.344925 ms,8.7 ¦Ìs,RX data,00,
62,270.447175 ms,8.7 ¦Ìs,RX data,00,
63,270.458025 ms,8.7 ¦Ìs,RX data,00,
64,270.549525 ms,8.7 ¦Ìs,RX data,00,
65,270.6517 ms,8.7 ¦Ìs,RX data,00,
66,270.755 ms,8.7 ¦Ìs,RX data,00,
67,270.85725 ms,8.7 ¦Ìs,RX data,00,
