Index,Start,Time,Type,Data,
0,1.55 ¦Ìs,8.7 ¦Ìs,RX data,00,
1,11.95 ¦Ìs,8.7 ¦Ìs,RX data,E0,
2,256.798075 ms,8.7 ¦Ìs,RX data,24,
3,256.808925 ms,8.7 ¦Ìs,RX data,47,
4,256.819775 ms,8.7 ¦Ìs,RX data,4E,
5,256.830625 ms,8.7 ¦Ìs,RX data,54,
6,256.841475 ms,8.7 ¦Ìs,RX data,58,
7,256.852325 ms,8.7 ¦Ìs,RX data,54,
8,256.863175 ms,8.7 ¦Ìs,RX data,2C,
9,256.874025 ms,8.7 ¦Ìs,RX data,30,
10,256.884875 ms,8.7 ¦Ìs,RX data,31,
11,256.895725 ms,8.7 ¦Ìs,RX data,2C,
12,256.906575 ms,8.7 ¦Ìs,RX data,30,
13,256.917425 ms,8.7 ¦Ìs,RX data,31,
14,256.928275 ms,8.7 ¦Ìs,RX data,2C,
15,256.939125 ms,8.7 ¦Ìs,RX data,30,
16,256.949975 ms,8.7 ¦Ìs,RX data,32,
17,256.960825 ms,8.7 ¦Ìs,RX data,2C,
18,256.971675 ms,8.7 ¦Ìs,RX data,75,
19,256.982525 ms,8.7 ¦Ìs,RX data,2D,
20,256.993375 ms,8.7 ¦Ìs,RX data,62,
21,257.004225 ms,8.7 ¦Ìs,RX data,6C,
22,257.015075 ms,8.7 ¦Ìs,RX data,6F,
23,257.025925 ms,8.7 ¦Ìs,RX data,78,
24,257.036775 ms,8.7 ¦Ìs,RX data,20,
25,257.047625 ms,8.7 ¦Ìs,RX data,41,
26,257.058475 ms,8.7 ¦Ìs,RX data,47,
27,257.069325 ms,8.7 ¦Ìs,RX data,20,
28,257.080175 ms,8.7 ¦Ìs,RX data,2D,
29,257.091025 ms,8.7 ¦Ìs,RX data,20,
30,257.101875 ms,8.7 ¦Ìs,RX data,77,
31,257.112725 ms,8.7 ¦Ìs,RX data,77,
32,257.123575 ms,8.7 ¦Ìs,RX data,77,
33,257.134425 ms,8.7 ¦Ìs,RX data,2E,
34,257.145275 ms,8.7 ¦Ìs,RX data,75,
35,257.156125 ms,8.7 ¦Ìs,RX data,2D,
36,257.166975 ms,8.7 ¦Ìs,RX data,62,
37,257.177825 ms,8.7 ¦Ìs,RX data,6C,
38,257.188675 ms,8.7 ¦Ìs,RX data,6F,
39,257.199525 ms,8.7 ¦Ìs,RX data,78,
40,257.210375 ms,8.7 ¦Ìs,RX data,2E,
41,257.221225 ms,8.7 ¦Ìs,RX data,63,
42,257.232075 ms,8.7 ¦Ìs,RX data,6F,
43,257.242925 ms,8.7 ¦Ìs,RX data,6D,
44,257.253775 ms,8.7 ¦Ìs,RX data,2A,
45,257.264625 ms,8.7 ¦Ìs,RX data,34,
46,257.275475 ms,8.7 ¦Ìs,RX data,45,
47,257.286325 ms,8.7 ¦Ìs,RX data,0D,
48,257.297175 ms,8.7 ¦Ìs,RX data,0A,
49,257.308025 ms,8.7 ¦Ìs,RX data,24,
50,257.318875 ms,8.7 ¦Ìs,RX data,47,
51,257.329725 ms,8.7 ¦Ìs,RX data,4E,
52,257.340575 ms,8.7 ¦Ìs,RX data,54,
53,257.351425 ms,8.7 ¦Ìs,RX data,58,
54,257.362275 ms,8.7 ¦Ìs,RX data,54,
55,257.373125 ms,8.7 ¦Ìs,RX data,2C,
56,257.383975 ms,8.7 ¦Ìs,RX data,30,
57,257.394825 ms,8.7 ¦Ìs,RX data,31,
58,257.405675 ms,8.7 ¦Ìs,RX data,2C,
59,257.416525 ms,8.7 ¦Ìs,RX data,30,
60,257.427375 ms,8.7 ¦Ìs,RX data,31,
61,257.438225 ms,8.7 ¦Ìs,RX data,2C,
62,257.449075 ms,8.7 ¦Ìs,RX data,30,
63,257.459925 ms,8.7 ¦Ìs,RX data,32,
64,257.470775 ms,8.7 ¦Ìs,RX data,2C,
65,257.481625 ms,8.7 ¦Ìs,RX data,48,
66,257.492475 ms,8.7 ¦Ìs,RX data,57,
67,257.503325 ms,8.7 ¦Ìs,RX data,20,
68,257.514175 ms,8.7 ¦Ìs,RX data,55,
69,257.525025 ms,8.7 ¦Ìs,RX data,42,
70,257.535875 ms,8.7 ¦Ìs,RX data,58,
71,257.546725 ms,8.7 ¦Ìs,RX data,20,
72,257.557575 ms,8.7 ¦Ìs,RX data,31,
