Index,Start,Time,Type,Data,
0,766.290475 ms,8.7 ¦Ìs,RX data,B5,
1,766.3013 ms,8.7 ¦Ìs,RX data,62,
2,766.312125 ms,8.7 ¦Ìs,RX data,0A,
3,766.322975 ms,8.7 ¦Ìs,RX data,04,
4,766.3338 ms,8.7 ¦Ìs,RX data,00,
5,766.344625 ms,8.7 ¦Ìs,RX data,00,
6,766.355475 ms,8.7 ¦Ìs,RX data,0E,
7,766.3663 ms,8.7 ¦Ìs,RX data,34,
8,1.148578 s,8.7 ¦Ìs,RX data,B5,
9,1.148589 s,8.7 ¦Ìs,RX data,62,
10,1.148599 s,8.7 ¦Ìs,RX data,0A,
11,1.14861 s,8.7 ¦Ìs,RX data,04,
12,1.148621 s,8.7 ¦Ìs,RX data,00,
13,1.148632 s,8.7 ¦Ìs,RX data,00,
14,1.148643 s,8.7 ¦Ìs,RX data,0E,
15,1.148654 s,8.7 ¦Ìs,RX data,34,
16,1.188571 s,8.7 ¦Ìs,RX data,B5,
17,1.188582 s,8.7 ¦Ìs,RX data,62,
18,1.188593 s,8.7 ¦Ìs,RX data,27,
19,1.188603 s,8.7 ¦Ìs,RX data,03,
20,1.188614 s,8.7 ¦Ìs,RX data,00,
21,1.188625 s,8.7 ¦Ìs,RX data,00,
22,1.188636 s,8.7 ¦Ìs,RX data,2A,
23,1.188647 s,8.7 ¦Ìs,RX data,A5,
24,1.198618 s,8.7 ¦Ìs,RX data,B5,
25,1.198629 s,8.7 ¦Ìs,RX data,62,
26,1.19864 s,8.7 ¦Ìs,RX data,06,
27,1.198651 s,8.7 ¦Ìs,RX data,8B,
28,1.198662 s,8.7 ¦Ìs,RX data,08,
29,1.198673 s,8.7 ¦Ìs,RX data,00,
30,1.198683 s,8.7 ¦Ìs,RX data,00,
31,1.198694 s,8.7 ¦Ìs,RX data,04,
32,1.198705 s,8.7 ¦Ìs,RX data,00,
33,1.198716 s,8.7 ¦Ìs,RX data,00,
34,1.198727 s,8.7 ¦Ìs,RX data,01,
35,1.198738 s,8.7 ¦Ìs,RX data,00,
36,1.198748 s,8.7 ¦Ìs,RX data,52,
37,1.198759 s,8.7 ¦Ìs,RX data,40,
38,1.19877 s,8.7 ¦Ìs,RX data,30,
39,1.198781 s,8.7 ¦Ìs,RX data,95,
40,1.208582 s,8.7 ¦Ìs,RX data,B5,
41,1.208593 s,8.7 ¦Ìs,RX data,62,
42,1.208604 s,8.7 ¦Ìs,RX data,06,
43,1.208615 s,8.7 ¦Ìs,RX data,8B,
44,1.208626 s,8.7 ¦Ìs,RX data,08,
45,1.208637 s,8.7 ¦Ìs,RX data,00,
46,1.208647 s,8.7 ¦Ìs,RX data,00,
47,1.208658 s,8.7 ¦Ìs,RX data,04,
48,1.208669 s,8.7 ¦Ìs,RX data,00,
49,1.20868 s,8.7 ¦Ìs,RX data,00,
50,1.208691 s,8.7 ¦Ìs,RX data,01,
51,1.208702 s,8.7 ¦Ìs,RX data,00,
52,1.208712 s,8.7 ¦Ìs,RX data,A4,
53,1.208723 s,8.7 ¦Ìs,RX data,40,
54,1.208734 s,8.7 ¦Ìs,RX data,82,
55,1.208745 s,8.7 ¦Ìs,RX data,39,
56,1.218573 s,8.7 ¦Ìs,RX data,B5,
57,1.218583 s,8.7 ¦Ìs,RX data,62,
58,1.218594 s,8.7 ¦Ìs,RX data,06,
59,1.218605 s,8.7 ¦Ìs,RX data,8A,
60,1.218616 s,8.7 ¦Ìs,RX data,2C,
61,1.218627 s,8.7 ¦Ìs,RX data,00,
62,1.218638 s,8.7 ¦Ìs,RX data,00,
63,1.218648 s,8.7 ¦Ìs,RX data,03,
64,1.218659 s,8.7 ¦Ìs,RX data,00,
65,1.21867 s,8.7 ¦Ìs,RX data,00,
66,1.218681 s,8.7 ¦Ìs,RX data,1F,
67,1.218692 s,8.7 ¦Ìs,RX data,00,
68,1.218703 s,8.7 ¦Ìs,RX data,31,
69,1.218713 s,8.7 ¦Ìs,RX data,10,
70,1.218724 s,8.7 ¦Ìs,RX data,01,
71,1.218735 s,8.7 ¦Ìs,RX data,24,
72,1.218746 s,8.7 ¦Ìs,RX data,00,
73,1.218757 s,8.7 ¦Ìs,RX data,31,
74,1.218768 s,8.7 ¦Ìs,RX data,10,
75,1.218778 s,8.7 ¦Ìs,RX data,01,
76,1.218789 s,8.7 ¦Ìs,RX data,21,
77,1.2188 s,8.7 ¦Ìs,RX data,00,
78,1.218811 s,8.7 ¦Ìs,RX data,31,
79,1.218822 s,8.7 ¦Ìs,RX data,10,
80,1.218833 s,8.7 ¦Ìs,RX data,01,
81,1.218843 s,8.7 ¦Ìs,RX data,22,
82,1.218854 s,8.7 ¦Ìs,RX data,00,
83,1.218865 s,8.7 ¦Ìs,RX data,31,
84,1.218876 s,8.7 ¦Ìs,RX data,10,
85,1.218887 s,8.7 ¦Ìs,RX data,01,
86,1.218898 s,8.7 ¦Ìs,RX data,0D,
87,1.218908 s,8.7 ¦Ìs,RX data,00,
88,1.218919 s,8.7 ¦Ìs,RX data,31,
89,1.21893 s,8.7 ¦Ìs,RX data,10,
90,1.218941 s,8.7 ¦Ìs,RX data,01,
91,1.218952 s,8.7 ¦Ìs,RX data,0F,
92,1.218963 s,8.7 ¦Ìs,RX data,00,
93,1.218973 s,8.7 ¦Ìs,RX data,31,
94,1.218984 s,8.7 ¦Ìs,RX data,10,
95,1.218995 s,8.7 ¦Ìs,RX data,00,
96,1.219006 s,8.7 ¦Ìs,RX data,25,
97,1.219017 s,8.7 ¦Ìs,RX data,00,
98,1.219028 s,8.7 ¦Ìs,RX data,31,
99,1.219038 s,8.7 ¦Ìs,RX data,10,
100,1.219049 s,8.7 ¦Ìs,RX data,00,
101,1.21906 s,8.7 ¦Ìs,RX data,18,
102,1.219071 s,8.7 ¦Ìs,RX data,00,
103,1.219082 s,8.7 ¦Ìs,RX data,31,
104,1.219093 s,8.7 ¦Ìs,RX data,10,
105,1.219103 s,8.7 ¦Ìs,RX data,00,
106,1.219114 s,8.7 ¦Ìs,RX data,AB,
107,1.219125 s,8.7 ¦Ìs,RX data,48,
108,1.219136 s,8.7 ¦Ìs,RX data,B5,
109,1.219147 s,8.7 ¦Ìs,RX data,62,
110,1.219158 s,8.7 ¦Ìs,RX data,06,
111,1.219168 s,8.7 ¦Ìs,RX data,8A,
112,1.219179 s,8.7 ¦Ìs,RX data,09,
113,1.21919 s,8.7 ¦Ìs,RX data,00,
114,1.219201 s,8.7 ¦Ìs,RX data,00,
115,1.219212 s,8.7 ¦Ìs,RX data,03,
116,1.219223 s,8.7 ¦Ìs,RX data,00,
117,1.219233 s,8.7 ¦Ìs,RX data,00,
118,1.219244 s,8.7 ¦Ìs,RX data,02,
119,1.219255 s,8.7 ¦Ìs,RX data,00,
120,1.219266 s,8.7 ¦Ìs,RX data,74,
121,1.219277 s,8.7 ¦Ìs,RX data,10,
122,1.219288 s,8.7 ¦Ìs,RX data,00,
123,1.219298 s,8.7 ¦Ìs,RX data,22,
124,1.219309 s,8.7 ¦Ìs,RX data,C7,
125,1.228582 s,8.7 ¦Ìs,RX data,B5,
126,1.228593 s,8.7 ¦Ìs,RX data,62,
127,1.228604 s,8.7 ¦Ìs,RX data,06,
128,1.228615 s,8.7 ¦Ìs,RX data,8A,
129,1.228626 s,8.7 ¦Ìs,RX data,09,
130,1.228636 s,8.7 ¦Ìs,RX data,00,
131,1.228647 s,8.7 ¦Ìs,RX data,00,
132,1.228658 s,8.7 ¦Ìs,RX data,03,
133,1.228669 s,8.7 ¦Ìs,RX data,00,
134,1.22868 s,8.7 ¦Ìs,RX data,00,
135,1.228691 s,8.7 ¦Ìs,RX data,01,
136,1.228701 s,8.7 ¦Ìs,RX data,00,
137,1.228712 s,8.7 ¦Ìs,RX data,04,
138,1.228723 s,8.7 ¦Ìs,RX data,10,
139,1.228734 s,8.7 ¦Ìs,RX data,00,
140,1.228745 s,8.7 ¦Ìs,RX data,B1,
141,1.228756 s,8.7 ¦Ìs,RX data,72,
142,1.238569 s,8.7 ¦Ìs,RX data,B5,
143,1.23858 s,8.7 ¦Ìs,RX data,62,
144,1.238591 s,8.7 ¦Ìs,RX data,06,
145,1.238601 s,8.7 ¦Ìs,RX data,8A,
146,1.238612 s,8.7 ¦Ìs,RX data,09,
147,1.238623 s,8.7 ¦Ìs,RX data,00,
148,1.238634 s,8.7 ¦Ìs,RX data,00,
149,1.238645 s,8.7 ¦Ìs,RX data,03,
150,1.238656 s,8.7 ¦Ìs,RX data,00,
151,1.238667 s,8.7 ¦Ìs,RX data,00,
152,1.238677 s,8.7 ¦Ìs,RX data,02,
153,1.238688 s,8.7 ¦Ìs,RX data,00,
154,1.238699 s,8.7 ¦Ìs,RX data,92,
155,1.23871 s,8.7 ¦Ìs,RX data,20,
156,1.238721 s,8.7 ¦Ìs,RX data,03,
157,1.238732 s,8.7 ¦Ìs,RX data,53,
158,1.238742 s,8.7 ¦Ìs,RX data,44,
159,1.248582 s,8.7 ¦Ìs,RX data,B5,
160,1.248593 s,8.7 ¦Ìs,RX data,62,
161,1.248603 s,8.7 ¦Ìs,RX data,06,
162,1.248614 s,8.7 ¦Ìs,RX data,8A,
163,1.248625 s,8.7 ¦Ìs,RX data,09,
164,1.248636 s,8.7 ¦Ìs,RX data,00,
165,1.248647 s,8.7 ¦Ìs,RX data,00,
166,1.248658 s,8.7 ¦Ìs,RX data,03,
167,1.248668 s,8.7 ¦Ìs,RX data,00,
168,1.248679 s,8.7 ¦Ìs,RX data,00,
169,1.24869 s,8.7 ¦Ìs,RX data,4B,
170,1.248701 s,8.7 ¦Ìs,RX data,03,
171,1.248712 s,8.7 ¦Ìs,RX data,91,
172,1.248723 s,8.7 ¦Ìs,RX data,20,
173,1.248733 s,8.7 ¦Ìs,RX data,02,
174,1.248744 s,8.7 ¦Ìs,RX data,9D,
175,1.248755 s,8.7 ¦Ìs,RX data,B9,
176,1.258568 s,8.7 ¦Ìs,RX data,B5,
177,1.258579 s,8.7 ¦Ìs,RX data,62,
178,1.25859 s,8.7 ¦Ìs,RX data,06,
179,1.2586 s,8.7 ¦Ìs,RX data,8A,
180,1.258611 s,8.7 ¦Ìs,RX data,09,
181,1.258622 s,8.7 ¦Ìs,RX data,00,
182,1.258633 s,8.7 ¦Ìs,RX data,00,
183,1.258644 s,8.7 ¦Ìs,RX data,03,
184,1.258655 s,8.7 ¦Ìs,RX data,00,
185,1.258665 s,8.7 ¦Ìs,RX data,00,
186,1.258676 s,8.7 ¦Ìs,RX data,7E,
187,1.258687 s,8.7 ¦Ìs,RX data,01,
188,1.258698 s,8.7 ¦Ìs,RX data,91,
189,1.258709 s,8.7 ¦Ìs,RX data,20,
190,1.258719 s,8.7 ¦Ìs,RX data,01,
191,1.25873 s,8.7 ¦Ìs,RX data,CD,
192,1.258741 s,8.7 ¦Ìs,RX data,AF,
193,1.268582 s,8.7 ¦Ìs,RX data,B5,
194,1.268593 s,8.7 ¦Ìs,RX data,62,
195,1.268604 s,8.7 ¦Ìs,RX data,06,
196,1.268614 s,8.7 ¦Ìs,RX data,8A,
197,1.268625 s,8.7 ¦Ìs,RX data,09,
198,1.268636 s,8.7 ¦Ìs,RX data,00,
199,1.268647 s,8.7 ¦Ìs,RX data,00,
200,1.268658 s,8.7 ¦Ìs,RX data,03,
201,1.268669 s,8.7 ¦Ìs,RX data,00,
202,1.268679 s,8.7 ¦Ìs,RX data,00,
203,1.26869 s,8.7 ¦Ìs,RX data,7A,
204,1.268701 s,8.7 ¦Ìs,RX data,00,
205,1.268712 s,8.7 ¦Ìs,RX data,91,
206,1.268723 s,8.7 ¦Ìs,RX data,20,
207,1.268734 s,8.7 ¦Ìs,RX data,01,
208,1.268744 s,8.7 ¦Ìs,RX data,C8,
209,1.268755 s,8.7 ¦Ìs,RX data,97,
210,1.278569 s,8.7 ¦Ìs,RX data,B5,
211,1.27858 s,8.7 ¦Ìs,RX data,62,
212,1.27859 s,8.7 ¦Ìs,RX data,06,
213,1.278601 s,8.7 ¦Ìs,RX data,8A,
214,1.278612 s,8.7 ¦Ìs,RX data,09,
215,1.278623 s,8.7 ¦Ìs,RX data,00,
216,1.278634 s,8.7 ¦Ìs,RX data,00,
217,1.278645 s,8.7 ¦Ìs,RX data,03,
218,1.278655 s,8.7 ¦Ìs,RX data,00,
219,1.278666 s,8.7 ¦Ìs,RX data,00,
220,1.278677 s,8.7 ¦Ìs,RX data,2A,
221,1.278688 s,8.7 ¦Ìs,RX data,00,
222,1.278699 s,8.7 ¦Ìs,RX data,91,
223,1.27871 s,8.7 ¦Ìs,RX data,20,
224,1.27872 s,8.7 ¦Ìs,RX data,01,
225,1.278731 s,8.7 ¦Ìs,RX data,78,
226,1.278742 s,8.7 ¦Ìs,RX data,07,
227,1.288582 s,8.7 ¦Ìs,RX data,B5,
228,1.288593 s,8.7 ¦Ìs,RX data,62,
229,1.288604 s,8.7 ¦Ìs,RX data,06,
230,1.288615 s,8.7 ¦Ìs,RX data,8A,
231,1.288626 s,8.7 ¦Ìs,RX data,09,
232,1.288636 s,8.7 ¦Ìs,RX data,00,
233,1.288647 s,8.7 ¦Ìs,RX data,00,
234,1.288658 s,8.7 ¦Ìs,RX data,03,
235,1.288669 s,8.7 ¦Ìs,RX data,00,
236,1.28868 s,8.7 ¦Ìs,RX data,00,
237,1.288691 s,8.7 ¦Ìs,RX data,25,
238,1.288701 s,8.7 ¦Ìs,RX data,00,
239,1.288712 s,8.7 ¦Ìs,RX data,91,
240,1.288723 s,8.7 ¦Ìs,RX data,20,
241,1.288734 s,8.7 ¦Ìs,RX data,00,
242,1.288745 s,8.7 ¦Ìs,RX data,72,
243,1.288756 s,8.7 ¦Ìs,RX data,ED,
244,1.298574 s,8.7 ¦Ìs,RX data,B5,
245,1.298585 s,8.7 ¦Ìs,RX data,62,
246,1.298595 s,8.7 ¦Ìs,RX data,06,
247,1.298606 s,8.7 ¦Ìs,RX data,8A,
248,1.298617 s,8.7 ¦Ìs,RX data,09,
249,1.298628 s,8.7 ¦Ìs,RX data,00,
250,1.298639 s,8.7 ¦Ìs,RX data,00,
251,1.29865 s,8.7 ¦Ìs,RX data,03,
252,1.29866 s,8.7 ¦Ìs,RX data,00,
253,1.298671 s,8.7 ¦Ìs,RX data,00,
254,1.298682 s,8.7 ¦Ìs,RX data,1B,
255,1.298693 s,8.7 ¦Ìs,RX data,00,
256,1.298704 s,8.7 ¦Ìs,RX data,91,
257,1.298715 s,8.7 ¦Ìs,RX data,20,
258,1.298725 s,8.7 ¦Ìs,RX data,01,
259,1.298736 s,8.7 ¦Ìs,RX data,69,
