Index,Start,Time,Type,Data,
0,564.39605 ms,8.7 ¦Ìs,RX data,24,
1,564.4069 ms,8.7 ¦Ìs,RX data,47,
2,564.41775 ms,8.7 ¦Ìs,RX data,4E,
3,564.4286 ms,8.7 ¦Ìs,RX data,54,
4,564.439425 ms,8.7 ¦Ìs,RX data,58,
5,564.4503 ms,8.7 ¦Ìs,RX data,54,
6,564.461125 ms,8.7 ¦Ìs,RX data,2C,
7,564.471975 ms,8.7 ¦Ìs,RX data,30,
8,564.482825 ms,8.7 ¦Ìs,RX data,31,
9,564.493675 ms,8.7 ¦Ìs,RX data,2C,
10,564.504525 ms,8.7 ¦Ìs,RX data,30,
11,564.515375 ms,8.7 ¦Ìs,RX data,31,
12,564.526225 ms,8.7 ¦Ìs,RX data,2C,
13,564.53705 ms,8.7 ¦Ìs,RX data,30,
14,564.547925 ms,8.7 ¦Ìs,RX data,32,
15,564.55875 ms,8.7 ¦Ìs,RX data,2C,
16,564.5696 ms,8.7 ¦Ìs,RX data,75,
17,564.58045 ms,8.7 ¦Ìs,RX data,2D,
18,564.5913 ms,8.7 ¦Ìs,RX data,62,
19,564.60215 ms,8.7 ¦Ìs,RX data,6C,
20,564.613 ms,8.7 ¦Ìs,RX data,6F,
21,564.62385 ms,8.7 ¦Ìs,RX data,78,
22,564.6347 ms,8.7 ¦Ìs,RX data,20,
23,564.64555 ms,8.7 ¦Ìs,RX data,41,
24,564.656375 ms,8.7 ¦Ìs,RX data,47,
25,564.667225 ms,8.7 ¦Ìs,RX data,20,
26,564.6781 ms,8.7 ¦Ìs,RX data,2D,
27,564.688925 ms,8.7 ¦Ìs,RX data,20,
28,564.699775 ms,8.7 ¦Ìs,RX data,77,
29,564.710625 ms,8.7 ¦Ìs,RX data,77,
30,564.721475 ms,8.7 ¦Ìs,RX data,77,
31,564.732325 ms,8.7 ¦Ìs,RX data,2E,
32,564.743175 ms,8.7 ¦Ìs,RX data,75,
33,564.754025 ms,8.7 ¦Ìs,RX data,2D,
34,564.76485 ms,8.7 ¦Ìs,RX data,62,
35,564.775725 ms,8.7 ¦Ìs,RX data,6C,
36,564.78655 ms,8.7 ¦Ìs,RX data,6F,
37,564.7974 ms,8.7 ¦Ìs,RX data,78,
38,564.80825 ms,8.7 ¦Ìs,RX data,2E,
39,564.8191 ms,8.7 ¦Ìs,RX data,63,
40,564.82995 ms,8.7 ¦Ìs,RX data,6F,
41,564.8408 ms,8.7 ¦Ìs,RX data,6D,
42,564.85165 ms,8.7 ¦Ìs,RX data,2A,
43,564.8625 ms,8.7 ¦Ìs,RX data,34,
44,564.87335 ms,8.7 ¦Ìs,RX data,45,
45,564.884175 ms,8.7 ¦Ìs,RX data,0D,
46,564.895025 ms,8.7 ¦Ìs,RX data,0A,
47,564.9059 ms,8.7 ¦Ìs,RX data,24,
48,564.916725 ms,8.7 ¦Ìs,RX data,47,
49,564.927575 ms,8.7 ¦Ìs,RX data,4E,
50,564.938425 ms,8.7 ¦Ìs,RX data,54,
51,564.949275 ms,8.7 ¦Ìs,RX data,58,
52,564.960125 ms,8.7 ¦Ìs,RX data,54,
53,564.970975 ms,8.7 ¦Ìs,RX data,2C,
54,564.9818 ms,8.7 ¦Ìs,RX data,30,
55,564.99265 ms,8.7 ¦Ìs,RX data,31,
56,565.003525 ms,8.7 ¦Ìs,RX data,2C,
57,565.01435 ms,8.7 ¦Ìs,RX data,30,
58,565.0252 ms,8.7 ¦Ìs,RX data,31,
59,565.03605 ms,8.7 ¦Ìs,RX data,2C,
60,565.0469 ms,8.7 ¦Ìs,RX data,30,
61,565.05775 ms,8.7 ¦Ìs,RX data,32,
62,565.0686 ms,8.7 ¦Ìs,RX data,2C,
63,565.079425 ms,8.7 ¦Ìs,RX data,48,
64,565.0903 ms,8.7 ¦Ìs,RX data,57,
65,565.10115 ms,8.7 ¦Ìs,RX data,20,
66,565.111975 ms,8.7 ¦Ìs,RX data,55,
67,565.122825 ms,8.7 ¦Ìs,RX data,42,
68,565.1337 ms,8.7 ¦Ìs,RX data,58,
69,565.144525 ms,8.7 ¦Ìs,RX data,20,
70,565.155375 ms,8.7 ¦Ìs,RX data,31,
