Id,Time[ns],0:UART: RX/TX
1,1589526660.00,B5
2,1589538560.00,62
3,1589550460.00,0A
4,1589562360.00,04
5,1589574260.00,00
6,1589586160.00,00
7,1589598060.00,0E
8,1589609960.00,34
9,1592145720.00,B5
10,1592157640.00,62
11,1592169540.00,06
12,1592181440.00,8A
13,1592193320.00,0E
14,1592205220.00,00
15,1592217120.00,00
16,1592229020.00,01
17,1592240920.00,00
18,1592252820.00,00
19,1592264720.00,01
20,1592276620.00,00
21,1592288520.00,74
22,1592300420.00,10
23,1592312320.00,01
24,1592324220.00,02
25,1592336120.00,00
26,1592348020.00,74
27,1592359920.00,10
28,1592371820.00,00
29,1592383720.00,AB
30,1592395620.00,29
31,1612150200.00,B5
32,1612162100.00,62
33,1612174000.00,06
34,1612185900.00,8A
35,1612197800.00,0E
36,1612209700.00,00
37,1612221600.00,00
38,1612233500.00,01
39,1612245400.00,00
40,1612257300.00,00
41,1612269200.00,01
42,1612281100.00,00
43,1612293000.00,74
44,1612304880.00,10
45,1612316780.00,01
46,1612328680.00,02
47,1612340580.00,00
48,1612352480.00,74
49,1612364380.00,10
50,1612376280.00,00
51,1612388180.00,AB
52,1612400080.00,29
53,1632154660.00,B5
54,1632166580.00,62
55,1632178480.00,06
56,1632190380.00,8A
57,1632202260.00,0E
58,1632214160.00,00
59,1632226060.00,00
60,1632237960.00,01
61,1632249860.00,00
62,1632261760.00,00
63,1632273660.00,01
64,1632285560.00,00
65,1632297460.00,74
66,1632309360.00,10
67,1632321260.00,01
68,1632333160.00,02
69,1632345060.00,00
70,1632356960.00,74
71,1632368860.00,10
72,1632380760.00,00
73,1632392660.00,AB
74,1632404560.00,29
75,1632416460.00,B5
76,1632428360.00,62
77,1632440240.00,06
78,1632452140.00,8A
79,1632464040.00,27
80,1632475940.00,00
81,1632487840.00,00
82,1632499740.00,01
83,1632511640.00,00
84,1632523540.00,00
85,1632535440.00,1F
86,1632547340.00,00
87,1632559240.00,31
88,1632571140.00,10
89,1632583040.00,01
90,1632594940.00,21
91,1632606840.00,00
92,1632618740.00,31
93,1632630640.00,10
94,1632642540.00,01
95,1632654440.00,22
96,1632666340.00,00
97,1632678240.00,31
98,1632690140.00,10
99,1632702040.00,01
100,1632713940.00,0D
101,1632725820.00,00
102,1632737720.00,31
103,1632749620.00,10
104,1632761520.00,01
105,1632773420.00,0F
106,1632785320.00,00
107,1632797220.00,31
108,1632809120.00,10
109,1632821020.00,00
110,1632832920.00,24
111,1632844820.00,00
112,1632856720.00,31
113,1632868620.00,10
114,1632880520.00,01
115,1632892420.00,25
116,1632904320.00,00
117,1632916220.00,31
118,1632928120.00,10
119,1632940020.00,00
120,1632951920.00,4B
121,1632963820.00,70
122,1789148580.00,B5
123,1789160480.00,62
124,1789172380.00,06
125,1789184280.00,8A
126,1789196180.00,27
127,1789208080.00,00
128,1789219980.00,00
129,1789231880.00,01
130,1789243780.00,00
131,1789255680.00,00
132,1789267580.00,1F
133,1789279480.00,00
134,1789291380.00,31
135,1789303280.00,10
136,1789315180.00,01
137,1789327080.00,21
138,1789338960.00,00
139,1789350860.00,31
140,1789362760.00,10
141,1789374660.00,01
142,1789386560.00,22
143,1789398460.00,00
144,1789410360.00,31
145,1789422260.00,10
146,1789434160.00,01
147,1789446060.00,0D
148,1789457960.00,00
149,1789469860.00,31
150,1789481760.00,10
151,1789493660.00,01
152,1789505560.00,0F
153,1789517460.00,00
154,1789529360.00,31
155,1789541260.00,10
156,1789553160.00,00
157,1789565060.00,24
158,1789576960.00,00
159,1789588860.00,31
160,1789600740.00,10
161,1789612640.00,01
162,1789624540.00,25
163,1789636440.00,00
164,1789648340.00,31
165,1789660240.00,10
166,1789672140.00,00
167,1789684040.00,4B
168,1789695940.00,70
169,1799102920.00,B5
170,1799114820.00,62
171,1799126720.00,06
172,1799138620.00,8A
173,1799150520.00,09
174,1799162420.00,00
175,1799174320.00,00
176,1799186220.00,01
177,1799198120.00,00
178,1799210020.00,00
179,1799221920.00,7E
180,1799233820.00,01
181,1799245720.00,91
182,1799257600.00,20
183,1799269500.00,01
184,1799281400.00,CB
185,1799293300.00,9F
186,1809098220.00,B5
187,1809110120.00,62
188,1809122020.00,06
189,1809133920.00,8A
190,1809145820.00,09
191,1809157720.00,00
192,1809169620.00,00
193,1809181520.00,01
194,1809193420.00,00
195,1809205320.00,00
196,1809217220.00,25
197,1809229120.00,00
198,1809241020.00,91
199,1809252920.00,20
200,1809264820.00,01
201,1809276720.00,71
202,1809288620.00,DE
203,1819112780.00,B5
204,1819124680.00,62
205,1819136580.00,06
206,1819148480.00,8A
207,1819160380.00,09
208,1819172280.00,00
209,1819184180.00,00
210,1819196080.00,01
211,1819207980.00,00
212,1819219880.00,00
213,1819231780.00,2A
214,1819243680.00,00
215,1819255580.00,91
216,1819267480.00,20
217,1819279380.00,01
218,1819291280.00,76
219,1819303180.00,F7
220,1829112480.00,B5
221,1829124380.00,62
222,1829136280.00,06
223,1829148180.00,8A
224,1829160080.00,09
225,1829171980.00,00
226,1829183880.00,00
227,1829195780.00,01
228,1829207680.00,00
229,1829219580.00,00
230,1829231480.00,1B
231,1829243380.00,00
232,1829255280.00,91
233,1829267180.00,20
234,1829279080.00,01
235,1829290980.00,67
