Id,Time[ns],0:UART: RX/TX
1,1590078720.00,B5
2,1590089560.00,62
3,1590100440.00,0A
4,1590111280.00,04
5,1590122160.00,A0
6,1590133000.00,00
7,1590143880.00,52
8,1590154720.00,4F
9,1590165580.00,4D
10,1590176440.00,20
11,1590187300.00,53
12,1590198160.00,50
13,1590209020.00,47
14,1590219880.00,20
15,1590230740.00,35
16,1590241600.00,2E
17,1590252460.00,31
18,1590263320.00,30
19,1590274180.00,20
20,1590285040.00,28
21,1590295900.00,37
22,1590306760.00,62
23,1590317620.00,32
24,1590328480.00,30
25,1590339340.00,32
26,1590350200.00,65
27,1590361060.00,29
28,1590371920.00,00
29,1590382780.00,00
30,1590393640.00,00
31,1590404500.00,00
32,1590415360.00,00
33,1590426220.00,00
34,1590437080.00,00
35,1590447940.00,00
36,1590458800.00,00
37,1590469660.00,30
38,1590480520.00,30
39,1590491380.00,30
40,1590502240.00,41
41,1590513100.00,30
42,1590523940.00,30
43,1590534820.00,30
44,1590545660.00,30
45,1590556540.00,00
46,1590567380.00,00
47,1590578260.00,46
48,1590589100.00,57
49,1590599980.00,56
50,1590610820.00,45
51,1590621680.00,52
52,1590632540.00,3D
53,1590643400.00,53
54,1590654260.00,50
55,1590665120.00,47
56,1590675980.00,20
57,1590686840.00,35
58,1590697700.00,2E
59,1590708560.00,31
60,1590719420.00,30
61,1590730280.00,00
62,1590741140.00,00
63,1590752000.00,00
64,1590762860.00,00
65,1590773720.00,00
66,1590784580.00,00
67,1590795440.00,00
68,1590806300.00,00
69,1590817160.00,00
70,1590828020.00,00
71,1590838880.00,00
72,1590849740.00,00
73,1590860600.00,00
74,1590871460.00,00
75,1590882320.00,00
76,1590893180.00,00
77,1590904040.00,50
78,1590914900.00,52
79,1590925760.00,4F
80,1590936620.00,54
81,1590947480.00,56
82,1590958340.00,45
83,1590969200.00,52
84,1590980060.00,3D
85,1590990920.00,33
86,1591001760.00,34
87,1591012640.00,2E
88,1591023480.00,31
89,1591034360.00,30
90,1591045200.00,00
91,1591056080.00,00
92,1591066920.00,00
93,1591077800.00,00
94,1591088640.00,00
95,1591099500.00,00
96,1591110360.00,00
97,1591121220.00,00
98,1591132080.00,00
99,1591142940.00,00
100,1591153800.00,00
101,1591164660.00,00
102,1591175520.00,00
103,1591186380.00,00
104,1591197240.00,00
105,1591208100.00,00
106,1591218960.00,00
107,1591229820.00,47
108,1591240680.00,50
109,1591251540.00,53
110,1591262400.00,3B
111,1591273260.00,47
112,1591284120.00,4C
113,1591294980.00,4F
114,1591305840.00,3B
115,1591316700.00,47
116,1591327560.00,41
117,1591338420.00,4C
118,1591349280.00,3B
119,1591360140.00,42
120,1591371000.00,44
121,1591381860.00,53
122,1591392720.00,00
123,1591403580.00,00
124,1591414440.00,00
125,1591425300.00,00
126,1591436160.00,00
127,1591447020.00,00
128,1591457880.00,00
129,1591468740.00,00
130,1591479580.00,00
131,1591490460.00,00
132,1591501300.00,00
133,1591512180.00,00
134,1591523020.00,00
135,1591533900.00,00
136,1591544740.00,00
137,1591555620.00,53
138,1591566460.00,42
139,1591577320.00,41
140,1591588180.00,53
141,1591599040.00,3B
142,1591609900.00,51
143,1591620760.00,5A
144,1591631620.00,53
145,1591642480.00,53
146,1591653340.00,00
147,1591664200.00,00
148,1591675060.00,00
149,1591685920.00,00
150,1591696780.00,00
151,1591707640.00,00
152,1591718500.00,00
153,1591729360.00,00
154,1591740220.00,00
155,1591751080.00,00
156,1591761940.00,00
157,1591772800.00,00
158,1591783660.00,00
159,1591794520.00,00
160,1591805380.00,00
161,1591816240.00,00
162,1591827100.00,00
163,1591837960.00,00
164,1591848820.00,00
165,1591859680.00,00
166,1591870540.00,00
167,1591881400.00,F7
168,1591892260.00,14
169,1592713920.00,B5
170,1592724760.00,62
171,1592735640.00,05
172,1592746480.00,01
173,1592757360.00,02
174,1592768200.00,00
175,1592779060.00,06
176,1592789920.00,8A
177,1592800780.00,98
178,1592811640.00,C1
179,1612620460.00,B5
180,1612631320.00,62
181,1612642180.00,05
182,1612653040.00,01
183,1612663900.00,02
184,1612674760.00,00
185,1612685620.00,06
186,1612696480.00,8A
187,1612707340.00,98
188,1612718200.00,C1
189,1632615100.00,B5
190,1632625960.00,62
191,1632636820.00,05
192,1632647680.00,01
193,1632658540.00,02
194,1632669400.00,00
195,1632680260.00,06
196,1632691120.00,8A
197,1632701980.00,98
198,1632712840.00,C1
199,1633190320.00,B5
200,1633201180.00,62
201,1633212040.00,05
202,1633222900.00,01
203,1633233760.00,02
204,1633244620.00,00
205,1633255480.00,06
206,1633266340.00,8A
207,1633277200.00,98
208,1633288060.00,C1
209,1789883380.00,B5
210,1789894240.00,62
211,1789905100.00,05
212,1789915960.00,01
213,1789926820.00,02
214,1789937680.00,00
215,1789948540.00,06
216,1789959400.00,8A
217,1789970260.00,98
218,1789981120.00,C1
219,1799461960.00,B5
220,1799472820.00,62
221,1799483680.00,05
222,1799494540.00,01
223,1799505400.00,02
224,1799516260.00,00
225,1799527120.00,06
226,1799537980.00,8A
227,1799548840.00,98
228,1799559700.00,C1
229,1809463800.00,B5
230,1809474660.00,62
231,1809485520.00,05
232,1809496380.00,01
233,1809507240.00,02
234,1809518100.00,00
235,1809528960.00,06
236,1809539820.00,8A
237,1809550680.00,98
238,1809561540.00,C1
239,1819475000.00,B5
240,1819485860.00,62
241,1819496720.00,05
242,1819507580.00,01
243,1819518440.00,02
244,1819529300.00,00
245,1819540160.00,06
246,1819551020.00,8A
247,1819561880.00,98
248,1819572740.00,C1
249,1829478860.00,B5
250,1829489740.00,62
251,1829500580.00,05
252,1829511460.00,01
253,1829522300.00,02
254,1829533180.00,00
255,1829544020.00,06
256,1829554900.00,8A
257,1829565740.00,98
258,1829576620.00,C1
259,1839527740.00,B5
260,1839538600.00,62
261,1839549460.00,05
262,1839560320.00,01
263,1839571180.00,02
264,1839582040.00,00
265,1839592900.00,06
266,1839603760.00,8A
267,1839614620.00,98
268,1839625480.00,C1
269,1849461300.00,B5
270,1849472160.00,62
271,1849483020.00,05
272,1849493880.00,01
273,1849504740.00,02
274,1849515600.00,00
275,1849526460.00,06
276,1849537320.00,8A
277,1849548180.00,98
278,1849559040.00,C1
279,1859479160.00,B5
280,1859490020.00,62
281,1859500880.00,05
282,1859511740.00,01
283,1859522600.00,02
284,1859533460.00,00
285,1859544320.00,06
286,1859555160.00,8A
287,1859566040.00,98
288,1859576880.00,C1
289,1869468160.00,B5
290,1869479020.00,62
291,1869489880.00,05
292,1869500740.00,01
293,1869511600.00,02
294,1869522460.00,00
295,1869533320.00,06
296,1869544180.00,8A
297,1869555040.00,98
298,1869565900.00,C1
299,1879458600.00,B5
300,1879469460.00,62
301,1879480320.00,05
302,1879491180.00,01
303,1879502040.00,02
304,1879512900.00,00
305,1879523760.00,06
306,1879534620.00,8A
307,1879545480.00,98
308,1879556340.00,C1
309,1889481120.00,B5
310,1889492000.00,62
311,1889502840.00,05
312,1889513720.00,01
313,1889524560.00,02
314,1889535440.00,00
315,1889546280.00,06
316,1889557160.00,8A
317,1889568000.00,98
318,1889578860.00,C1
319,1899471700.00,B5
320,1899482560.00,62
321,1899493420.00,05
322,1899504280.00,01
323,1899515140.00,02
324,1899526000.00,00
325,1899536860.00,06
326,1899547720.00,8A
327,1899558580.00,98
328,1899569440.00,C1
329,1909527160.00,B5
330,1909538020.00,62
331,1909548880.00,05
332,1909559740.00,01
333,1909570600.00,02
334,1909581460.00,00
335,1909592320.00,06
336,1909603180.00,8A
337,1909614040.00,98
338,1909624900.00,C1
339,1919470560.00,B5
340,1919481420.00,62
341,1919492280.00,05
342,1919503140.00,01
343,1919514000.00,02
344,1919524860.00,00
345,1919535720.00,06
346,1919546580.00,8A
347,1919557440.00,98
348,1919568300.00,C1
349,1929481700.00,B5
350,1929492540.00,62
351,1929503420.00,05
352,1929514260.00,01
353,1929525140.00,02
354,1929535980.00,00
355,1929546860.00,06
356,1929557700.00,8A
357,1929568560.00,98
358,1929579420.00,C1
359,1940547500.00,B5
360,1940558340.00,62
361,1940569220.00,05
362,1940580060.00,01
363,1940590940.00,02
364,1940601780.00,00
365,1940612640.00,06
366,1940623500.00,8A
367,1940634360.00,98
368,1940645220.00,C1
369,1949941660.00,B5
370,1949952520.00,62
371,1949963380.00,05
372,1949974240.00,01
373,1949985100.00,02
374,1949995960.00,00
375,1950006820.00,06
376,1950017680.00,8A
377,1950028540.00,98
378,1950039400.00,C1
379,1959653140.00,B5
380,1959664020.00,62
381,1959674860.00,05
382,1959685740.00,01
383,1959696580.00,02
384,1959707460.00,00
385,1959718300.00,06
386,1959729160.00,8A
387,1959740020.00,98
388,1959750880.00,C1
389,1969519580.00,B5
390,1969530440.00,62
