Id,Time[ns],0:UART: RX/TX
1,600000640.00,FF
2,850430450.00,24
3,850441300.00,47
4,850452140.00,4E
5,850462990.00,54
6,850473850.00,58
7,850484690.00,54
8,850495530.00,2C
9,850506370.00,30
10,850517230.00,31
11,850528080.00,2C
12,850538920.00,30
13,850549770.00,31
14,850560630.00,2C
15,850571470.00,30
16,850582310.00,32
17,850593160.00,2C
18,850604020.00,75
19,850614860.00,2D
20,850625700.00,62
21,850636550.00,6C
22,850647390.00,6F
23,850658250.00,78
24,850669090.00,20
25,850679940.00,41
26,850690780.00,47
27,850701640.00,20
28,850712490.00,2D
29,850723330.00,20
30,850734170.00,77
31,850745030.00,77
32,850755870.00,77
33,850766720.00,2E
34,850777570.00,75
35,850788420.00,2D
36,850799270.00,62
37,850810110.00,6C
38,850820950.00,6F
39,850831810.00,78
40,850842660.00,2E
41,850853500.00,63
42,850864350.00,6F
43,850875190.00,6D
44,850886050.00,2A
45,850896890.00,34
46,850907730.00,45
47,850918580.00,0D
48,850929440.00,0A
49,850940280.00,24
50,850951130.00,47
51,850961970.00,4E
52,850972830.00,54
53,850983670.00,58
54,850994520.00,54
55,851005360.00,2C
56,851016220.00,30
57,851027060.00,31
58,851037910.00,2C
59,851048750.00,30
60,851059610.00,31
61,851070450.00,2C
62,851081300.00,30
63,851092140.00,32
64,851102990.00,2C
65,851113850.00,48
66,851124690.00,57
67,851135530.00,20
68,851146380.00,55
69,851157240.00,42
70,851168080.00,58
71,851178920.00,20
72,851189770.00,31
73,851200630.00,30
74,851211470.00,20
75,851222310.00,30
76,851233160.00,30
77,851244020.00,30
78,851254860.00,41
79,851265710.00,30
80,851276550.00,30
81,851287390.00,30
82,851298250.00,30
83,851309090.00,2A
84,851319940.00,35
85,851330780.00,33
86,851341640.00,0D
87,851352490.00,0A
88,851363330.00,24
89,851374170.00,47
90,851385030.00,4E
91,851395880.00,54
92,851406720.00,58
93,851417570.00,54
94,851428430.00,2C
95,851439270.00,30
96,851450110.00,31
97,851460950.00,2C
98,851471810.00,30
99,851482660.00,31
100,851493500.00,2C
101,851504350.00,30
102,851515190.00,32
103,851526050.00,2C
104,851536890.00,52
105,851547740.00,4F
106,851558580.00,4D
107,851569440.00,20
108,851580280.00,53
109,851591130.00,50
110,851601970.00,47
111,851612830.00,20
112,851623670.00,35
113,851634520.00,2E
114,851645360.00,31
115,851656220.00,30
116,851667070.00,20
117,851677910.00,28
118,851688750.00,37
119,851699610.00,62
120,851710460.00,32
121,851721300.00,30
122,851732140.00,32
123,851742990.00,65
124,851753850.00,29
125,851764690.00,2A
126,851775530.00,37
127,851786380.00,43
128,851797240.00,0D
129,851808080.00,0A
130,851818930.00,24
131,851829770.00,47
132,851840630.00,4E
133,851851470.00,54
134,851862310.00,58
135,851873160.00,54
136,851884020.00,2C
137,851894860.00,30
138,851905710.00,31
139,851916550.00,2C
140,851927390.00,30
141,851938250.00,31
142,851949100.00,2C
143,851959940.00,30
144,851970790.00,32
145,851981640.00,2C
146,851992490.00,46
147,852003330.00,57
148,852014170.00,56
149,852025030.00,45
150,852035880.00,52
151,852046720.00,3D
152,852057570.00,53
153,852068430.00,50
154,852079270.00,47
155,852090110.00,20
156,852100960.00,35
157,852111820.00,2E
158,852122660.00,31
159,852133500.00,30
160,852144350.00,2A
161,852155190.00,34
162,852166050.00,30
163,852176890.00,0D
164,852187740.00,0A
165,852198580.00,24
166,852209440.00,47
167,852220290.00,4E
168,852231130.00,54
169,852241970.00,58
170,852252830.00,54
171,852263670.00,2C
172,852274520.00,30
173,852285360.00,31
174,852296220.00,2C
