Id,Time[ns],0:UART: RX/TX
1,600000430.00,FC
2,1958409990.00,B5
3,1958421920.00,62
4,1958433860.00,0A
5,1958445790.00,04
6,1958457730.00,00
7,1958469660.00,00
8,1958481600.00,0E
9,1958493530.00,34
10,1968375110.00,B5
11,1968387050.00,62
12,1968398980.00,27
13,1968410920.00,03
14,1968422850.00,00
15,1968434790.00,00
16,1968446720.00,2A
17,1968458660.00,A5
18,1985586170.00,B5
19,1985598110.00,62
20,1985610040.00,06
21,1985621980.00,8B
22,1985633910.00,08
23,1985645850.00,00
24,1985657780.00,00
25,1985669720.00,04
26,1985681650.00,00
27,1985693590.00,00
28,1985705520.00,01
29,1985717460.00,00
30,1985729390.00,52
31,1985741330.00,40
32,1985753260.00,30
33,1985765200.00,95
34,1993396870.00,B5
35,1993408790.00,62
36,1993420730.00,06
37,1993432670.00,8B
38,1993444610.00,08
39,1993456530.00,00
40,1993468470.00,00
41,1993480410.00,04
42,1993492350.00,00
43,1993504270.00,00
44,1993516210.00,01
45,1993528150.00,00
46,1993540090.00,A4
47,1993552010.00,40
48,1993563950.00,82
49,1993575890.00,39
50,2003416740.00,B5
51,2003428680.00,62
52,2003440610.00,06
53,2003452550.00,8A
54,2003464480.00,2C
55,2003476420.00,00
56,2003488350.00,00
57,2003500290.00,03
58,2003512220.00,00
59,2003524160.00,00
60,2003536090.00,1F
61,2003548030.00,00
62,2003559960.00,31
63,2003571900.00,10
64,2003583830.00,01
65,2003595770.00,24
66,2003607700.00,00
67,2003619640.00,31
68,2003631570.00,10
69,2003643510.00,01
70,2003655440.00,21
71,2003667380.00,00
72,2003679310.00,31
73,2003691250.00,10
74,2003703180.00,01
75,2003715120.00,22
76,2003727050.00,00
77,2003738990.00,31
78,2003750920.00,10
79,2003762860.00,01
80,2003774790.00,0D
81,2003786730.00,00
82,2003798660.00,31
83,2003810600.00,10
84,2003822530.00,01
85,2003834470.00,0F
86,2003846400.00,00
87,2003858340.00,31
88,2003870270.00,10
89,2003882210.00,00
90,2003894140.00,25
91,2003906080.00,00
92,2003918010.00,31
93,2003929950.00,10
94,2003941880.00,00
95,2003953820.00,18
96,2003965750.00,00
97,2003977690.00,31
98,2003989620.00,10
99,2004001560.00,00
100,2004013490.00,AB
101,2004025430.00,48
102,2004037360.00,B5
103,2004049300.00,62
104,2004061230.00,06
105,2004073170.00,8A
106,2004085100.00,09
107,2004097040.00,00
108,2004108970.00,00
109,2004120910.00,03
110,2004132840.00,00
111,2004144780.00,00
112,2004156710.00,02
113,2004168650.00,00
114,2004180580.00,74
115,2004192520.00,10
116,2004204450.00,00
117,2004216390.00,22
118,2004228320.00,C7
119,2013399700.00,B5
120,2013411630.00,62
121,2013423570.00,06
122,2013435500.00,8A
123,2013447440.00,09
124,2013459370.00,00
125,2013471310.00,00
126,2013483240.00,03
127,2013495180.00,00
128,2013507110.00,00
