Id,Time[ns],0:UART: RX/TX
1,1958069340.00,B5
2,1958081270.00,62
3,1958093210.00,0A
4,1958105140.00,04
5,1958117080.00,00
6,1958129010.00,00
7,1958140950.00,0E
8,1958152880.00,34
9,1998038280.00,B5
10,1998050210.00,62
11,1998062150.00,27
12,1998074080.00,03
13,1998086020.00,00
14,1998097950.00,00
15,1998109890.00,2A
16,1998121820.00,A5
17,2003197200.00,B5
18,2003208100.00,62
19,2003218990.00,06
20,2003229880.00,41
21,2003240770.00,00
22,2003251670.00,00
23,2003262560.00,47
24,2003273450.00,DB
25,2015238770.00,B5
26,2015250700.00,62
27,2015262640.00,06
28,2015274570.00,8B
29,2015286510.00,08
30,2015298440.00,00
31,2015310380.00,00
32,2015322310.00,04
33,2015334250.00,00
34,2015346180.00,00
35,2015358120.00,01
36,2015370050.00,00
37,2015381990.00,52
38,2015393920.00,40
39,2015405860.00,30
40,2015417790.00,95
41,2023087140.00,B5
42,2023099070.00,62
43,2023111010.00,06
44,2023122950.00,8B
45,2023134880.00,08
46,2023146810.00,00
47,2023158750.00,00
48,2023170690.00,04
49,2023182630.00,00
50,2023194550.00,00
51,2023206490.00,01
52,2023218430.00,00
53,2023230370.00,A4
54,2023242290.00,40
55,2023254230.00,82
56,2023266170.00,39
57,2033058530.00,B5
58,2033070470.00,62
59,2033082410.00,06
60,2033094350.00,8A
61,2033106270.00,2C
62,2033118210.00,00
63,2033130150.00,00
64,2033142090.00,03
65,2033154010.00,00
66,2033165950.00,00
67,2033177890.00,1F
68,2033189830.00,00
69,2033201750.00,31
70,2033213690.00,10
71,2033225630.00,01
72,2033237570.00,24
73,2033249490.00,00
74,2033261430.00,31
75,2033273370.00,10
76,2033285310.00,01
77,2033297230.00,21
78,2033309170.00,00
79,2033321110.00,31
80,2033333050.00,10
81,2033344970.00,01
82,2033356910.00,22
83,2033368850.00,00
84,2033380790.00,31
85,2033392710.00,10
86,2033404650.00,01
87,2033416590.00,0D
88,2033428530.00,00
89,2033440450.00,31
90,2033452390.00,10
91,2033464330.00,01
92,2033476270.00,0F
93,2033488190.00,00
94,2033500130.00,31
95,2033512070.00,10
96,2033524010.00,00
97,2033535930.00,25
98,2033547870.00,00
99,2033559810.00,31
100,2033571750.00,10
101,2033583670.00,00
102,2033595620.00,18
103,2033607550.00,00
104,2033619490.00,31
105,2033631410.00,10
106,2033643350.00,00
107,2033655290.00,AB
108,2033667230.00,48
109,2033679150.00,B5
110,2033691090.00,62
111,2033703030.00,06
112,2033714970.00,8A
113,2033726890.00,09
114,2033738840.00,00
115,2033750770.00,00
116,2033762710.00,03
117,2033774640.00,00
118,2033786580.00,00
119,2033798510.00,02
120,2033810450.00,00
121,2033822380.00,74
122,2033834320.00,10
123,2033846250.00,00
124,2033858190.00,22
125,2033870120.00,C7
126,2043065330.00,B5
127,2043077270.00,62
128,2043089190.00,06
129,2043101130.00,8A
130,2043113070.00,09
131,2043125010.00,00
132,2043136930.00,00
133,2043148870.00,03
134,2043160810.00,00
135,2043172750.00,00
136,2043184670.00,01
137,2043196610.00,00
138,2043208550.00,04
139,2043220490.00,10
140,2043232410.00,00
141,2043244350.00,B1
142,2043256290.00,72
143,2053054110.00,B5
144,2053066050.00,62
145,2053077970.00,06
146,2053089920.00,8A
147,2053101850.00,09
148,2053113790.00,00
149,2053125720.00,00
150,2053137660.00,03
151,2053149590.00,00
152,2053161530.00,00
153,2053173460.00,02
154,2053185400.00,00
155,2053197330.00,92
156,2053209270.00,20
157,2053221200.00,03
158,2053233140.00,53
159,2053245070.00,44
160,2063065450.00,B5
161,2063077390.00,62
162,2063089330.00,06
163,2063101260.00,8A
164,2063113200.00,09
165,2063125130.00,00
166,2063137070.00,00
167,2063149000.00,03
168,2063160940.00,00
169,2063172870.00,00
170,2063184810.00,4B
171,2063196740.00,03
172,2063208680.00,91
173,2063220610.00,20
174,2063232550.00,02
175,2063244480.00,9D
176,2063256420.00,B9
177,2073073890.00,B5
178,2073085820.00,62
179,2073097760.00,06
180,2073109690.00,8A
181,2073121630.00,09
182,2073133560.00,00
183,2073145500.00,00
184,2073157430.00,03
185,2073169370.00,00
186,2073181300.00,00
187,2073193240.00,7E
188,2073205170.00,01
189,2073217110.00,91
190,2073229040.00,20
191,2073240980.00,01
192,2073252910.00,CD
193,2073264850.00,AF
194,2083065800.00,B5
195,2083077730.00,62
196,2083089670.00,06
197,2083101600.00,8A
198,2083113540.00,09
199,2083125470.00,00
200,2083137410.00,00
201,2083149340.00,03
202,2083161280.00,00
203,2083173210.00,00
204,2083185150.00,7A
205,2083197080.00,00
206,2083209020.00,91
207,2083220950.00,20
208,2083232890.00,01
209,2083244820.00,C8
210,2083256760.00,97
211,2093054410.00,B5
212,2093066350.00,62
213,2093078280.00,06
214,2093090220.00,8A
215,2093102150.00,09
216,2093114090.00,00
217,2093126020.00,00
218,2093137960.00,03
219,2093149890.00,00
220,2093161830.00,00
221,2093173760.00,2A
222,2093185700.00,00
223,2093197630.00,91
224,2093209570.00,20
225,2093221500.00,01
226,2093233440.00,78
227,2093245370.00,07
228,2103065670.00,B5
229,2103077610.00,62
230,2103089540.00,06
231,2103101480.00,8A
232,2103113410.00,09
233,2103125350.00,00
234,2103137280.00,00
235,2103149220.00,03
236,2103161150.00,00
237,2103173090.00,00
238,2103185020.00,25
239,2103196960.00,00
240,2103208890.00,91
241,2103220830.00,20
242,2103232760.00,00
243,2103244700.00,72
244,2103256630.00,ED
245,2113058740.00,B5
246,2113070680.00,62
247,2113082610.00,06
248,2113094550.00,8A
249,2113106480.00,09
250,2113118420.00,00
251,2113130350.00,00
252,2113142290.00,03
253,2113154220.00,00
254,2113166160.00,00
255,2113178090.00,1B
256,2113190030.00,00
257,2113201960.00,91
258,2113213900.00,20
259,2113225830.00,01
260,2113237770.00,69
261,2113249700.00,BC
262,2123088090.00,B5
263,2123100020.00,62
264,2123111960.00,06
265,2123123890.00,8A
266,2123135830.00,09
