Id,Time[ns],0:UART: RX/TX
1,1958866780.00,B5
2,1958877670.00,62
3,1958888560.00,0A
4,1958899450.00,04
5,1958910330.00,A0
6,1958921220.00,00
7,1958932110.00,52
8,1958942990.00,4F
9,1958953880.00,4D
10,1958964770.00,20
11,1958975650.00,53
12,1958986550.00,50
13,1958997430.00,47
14,1959008320.00,20
15,1959019200.00,35
16,1959030090.00,2E
17,1959040980.00,31
18,1959051870.00,30
19,1959062750.00,20
20,1959073640.00,28
21,1959084530.00,37
22,1959095410.00,62
23,1959106300.00,32
24,1959117190.00,30
25,1959128070.00,32
26,1959138970.00,65
27,1959149850.00,29
28,1959160740.00,00
29,1959171620.00,00
30,1959182510.00,00
31,1959193400.00,00
32,1959204290.00,00
33,1959215170.00,00
34,1959226060.00,00
35,1959236950.00,00
36,1959247830.00,00
37,1959258720.00,30
38,1959269610.00,30
39,1959280490.00,30
40,1959291380.00,41
41,1959302270.00,30
42,1959313160.00,30
43,1959324040.00,30
44,1959334930.00,30
45,1959345810.00,00
46,1959356710.00,00
47,1959367590.00,46
48,1959378480.00,57
49,1959389370.00,56
50,1959400250.00,45
51,1959411140.00,52
52,1959422030.00,3D
53,1959432910.00,53
54,1959443800.00,50
55,1959454690.00,47
56,1959465580.00,20
57,1959476460.00,35
58,1959487350.00,2E
59,1959498230.00,31
60,1959509130.00,30
61,1959520010.00,00
62,1959530900.00,00
63,1959541780.00,00
64,1959552670.00,00
65,1959563560.00,00
66,1959574450.00,00
67,1959585330.00,00
68,1959596220.00,00
69,1959607110.00,00
70,1959618000.00,00
71,1959628880.00,00
72,1959639770.00,00
73,1959650650.00,00
74,1959661550.00,00
75,1959672430.00,00
76,1959683320.00,00
77,1959694200.00,50
78,1959705090.00,52
79,1959715980.00,4F
80,1959726870.00,54
81,1959737750.00,56
82,1959748640.00,45
83,1959759530.00,52
84,1959770420.00,3D
85,1959781300.00,33
86,1959792190.00,34
87,1959803070.00,2E
88,1959813970.00,31
89,1959824850.00,30
90,1959835740.00,00
91,1959846620.00,00
92,1959857510.00,00
93,1959868400.00,00
94,1959879290.00,00
95,1959890170.00,00
96,1959901060.00,00
97,1959911950.00,00
98,1959922840.00,00
99,1959933720.00,00
100,1959944610.00,00
101,1959955490.00,00
102,1959966390.00,00
103,1959977270.00,00
104,1959988160.00,00
105,1959999040.00,00
106,1960009930.00,00
107,1960020820.00,47
108,1960031710.00,50
109,1960042590.00,53
110,1960053480.00,3B
111,1960064370.00,47
112,1960075250.00,4C
113,1960086140.00,4F
114,1960097030.00,3B
115,1960107910.00,47
116,1960118810.00,41
117,1960129690.00,4C
118,1960140580.00,3B
119,1960151460.00,42
120,1960162350.00,44
121,1960173240.00,53
122,1960184130.00,00
123,1960195010.00,00
124,1960205900.00,00
125,1960216790.00,00
126,1960227670.00,00
127,1960238560.00,00
128,1960249450.00,00
129,1960260330.00,00
130,1960271220.00,00
131,1960282110.00,00
132,1960293000.00,00
133,1960303880.00,00
134,1960314770.00,00
135,1960325660.00,00
136,1960336550.00,00
137,1960347430.00,53
138,1960358320.00,42
139,1960369210.00,41
140,1960380090.00,53
141,1960390980.00,3B
142,1960401870.00,51
143,1960412750.00,5A
144,1960423640.00,53
145,1960434530.00,53
146,1960445420.00,00
147,1960456300.00,00
148,1960467190.00,00
149,1960478070.00,00
150,1960488970.00,00
151,1960499850.00,00
152,1960510740.00,00
153,1960521630.00,00
154,1960532510.00,00
155,1960543400.00,00
156,1960554290.00,00
157,1960565170.00,00
158,1960576060.00,00
159,1960586950.00,00
160,1960597840.00,00
161,1960608720.00,00
162,1960619610.00,00
163,1960630490.00,00
164,1960641390.00,00
165,1960652270.00,00
166,1960663160.00,00
167,1960674040.00,F7
168,1960684930.00,14
169,1968672330.00,B5
170,1968683220.00,62
171,1968694110.00,27
172,1968704990.00,03
173,1968715880.00,0A
174,1968726770.00,00
175,1968737650.00,02
176,1968748540.00,00
177,1968759430.00,00
178,1968770320.00,00
179,1968781200.00,EB
180,1968792090.00,B9
181,1968802970.00,91
182,1968813870.00,0F
183,1968824750.00,2B
184,1968835640.00,54
185,1968846520.00,F9
186,1968857410.00,0F
187,1986030340.00,B5
188,1986041230.00,62
189,1986052110.00,06
190,1986063000.00,8B
191,1986073890.00,0C
192,1986084780.00,00
193,1986095660.00,01
194,1986106550.00,04
195,1986117430.00,00
196,1986128330.00,00
197,1986139210.00,01
198,1986150100.00,00
199,1986160980.00,52
200,1986171870.00,40
201,1986182760.00,00
202,1986193650.00,10
203,1986204530.00,0E
204,1986215420.00,00
205,1986226310.00,53
206,1986237200.00,E5
207,1986248080.00,B5
208,1986258970.00,62
209,1986269850.00,05
210,1986280750.00,01
211,1986291630.00,02
212,1986302520.00,00
213,1986313400.00,06
214,1986324290.00,8B
215,1986335180.00,99
216,1986346070.00,C2
217,1993777880.00,B5
218,1993788770.00,62
219,1993799660.00,06
220,1993810540.00,8B
221,1993821430.00,0C
222,1993832310.00,00
223,1993843210.00,01
224,1993854090.00,04
225,1993864980.00,00
226,1993875860.00,00
227,1993886750.00,01
228,1993897640.00,00
229,1993908530.00,A4
230,1993919410.00,40
231,1993930300.00,00
232,1993941190.00,B0
233,1993952080.00,71
234,1993962960.00,0B
235,1993973850.00,B3
236,1993984730.00,82
237,1993995630.00,B5
238,1994006510.00,62
239,1994017400.00,05
240,1994028280.00,01
241,1994039170.00,02
242,1994050060.00,00
243,1994060950.00,06
244,1994071830.00,8B
245,1994082720.00,99
246,1994093610.00,C2
247,2004283680.00,B5
248,2004294560.00,62
249,2004305450.00,05
250,2004316340.00,01
251,2004327230.00,02
