Id,Time[ns],0:UART: RX/TX
1,4973147640.00,60
2,4973162820.00,18
3,4973182360.00,66
4,4973199720.00,60
5,4973212740.00,60
6,4973225760.00,66
7,4973238780.00,18
8,4973251800.00,86
9,4973266980.00,98
10,4973277840.00,78
11,4973295200.00,E6
12,4973310380.00,98
13,4973321240.00,E6
14,4973332080.00,80
15,4973342940.00,98
16,4973353780.00,80
17,5488144540.00,24
18,5488155380.00,50
19,5488166200.00,44
20,5488177040.00,54
21,5488187860.00,49
22,5488198700.00,4E
23,5488209540.00,46
24,5488220360.00,4F
25,5488231200.00,0D
26,5488242040.00,0A
27,5511893880.00,24
28,5511904720.00,43
29,5511915560.00,46
30,5511926400.00,47
31,5511937220.00,4D
32,5511948060.00,53
33,5511958900.00,47
34,5511969720.00,2C
35,5511980560.00,39
36,5511991400.00,2C
37,5512002220.00,31
38,5512013060.00,32
39,5512023900.00,2C
40,5512034720.00,31
41,5512045560.00,0D
42,5512056400.00,0A
43,5563115340.00,24
44,5563126180.00,43
45,5563137000.00,46
46,5563147840.00,47
47,5563158680.00,4D
48,5563169500.00,53
49,5563180340.00,47
50,5563191180.00,2C
51,5563202000.00,39
52,5563212840.00,2C
53,5563223680.00,31
54,5563234500.00,32
55,5563245340.00,0D
56,5563256180.00,0A
57,5623361980.00,24
58,5623372800.00,43
59,5623383640.00,46
60,5623394480.00,47
61,5623405300.00,4D
62,5623416140.00,53
63,5623426980.00,47
64,5623437800.00,2C
65,5623448640.00,39
66,5623459480.00,2C
67,5623470300.00,31
68,5623481140.00,35
69,5623491980.00,2C
70,5623502800.00,31
71,5623513640.00,0D
72,5623524480.00,0A
73,5678332100.00,24
74,5678342940.00,43
75,5678353780.00,46
76,5678364600.00,47
77,5678375440.00,4D
78,5678386280.00,53
79,5678397100.00,47
80,5678407940.00,2C
81,5678418780.00,39
82,5678429600.00,2C
83,5678440440.00,31
84,5678451280.00,35
85,5678462100.00,0D
86,5678472940.00,0A
87,5693354360.00,24
88,5693365200.00,43
89,5693376040.00,46
90,5693386860.00,47
91,5693397700.00,53
92,5693408540.00,41
93,5693419380.00,56
94,5693430200.00,45
95,5693441040.00,0D
96,5693451880.00,0A
97,5693462700.00,24
98,5693473540.00,43
99,5693484360.00,46
100,5693495200.00,47
101,5693506040.00,53
102,5693516860.00,59
103,5693527700.00,53
104,5693538540.00,0D
105,5693549380.00,0A
106,5698375740.00,24
107,5698386580.00,43
108,5698397420.00,46
109,5698408240.00,47
110,5698419080.00,53
111,5698429920.00,59
112,5698440740.00,53
113,5698451580.00,0D
114,5698462420.00,0A
115,5703350720.00,24
116,5703361560.00,43
117,5703372400.00,46
118,5703383240.00,47
119,5703394060.00,53
120,5703404900.00,59
121,5703415740.00,53
122,5703426560.00,0D
123,5703437400.00,0A
124,5708398900.00,24
125,5708409740.00,43
126,5708420580.00,46
127,5708431400.00,47
128,5708442240.00,53
129,5708453060.00,59
130,5708463900.00,53
131,5708474740.00,0D
132,5708485580.00,0A
133,23609078580.00,24
134,23609089400.00,43
135,23609100240.00,46
136,23609111080.00,47
137,23609121900.00,4B
138,23609132740.00,45
139,23609143580.00,59
140,23609154400.00,0D
141,23609165240.00,0A
142,23918834180.00,24
143,23918845020.00,43
144,23918855840.00,46
145,23918866680.00,47
146,23918877520.00,4B
147,23918888340.00,45
148,23918899180.00,59
149,23918910020.00,0D
150,23918920840.00,0A
151,24228879460.00,24
152,24228890300.00,43
153,24228901140.00,46
154,24228911960.00,47
155,24228922800.00,4B
156,24228933640.00,45
157,24228944460.00,59
158,24228955300.00,0D
159,24228966140.00,0A
160,24538967960.00,24
161,24538978800.00,43
162,24538989640.00,46
163,24539000480.00,47
164,24539011300.00,4B
165,24539022140.00,45
166,24539032980.00,59
167,24539043800.00,0D
168,24539054640.00,0A
169,24848899100.00,24
170,24848909940.00,43
171,24848920760.00,46
172,24848931600.00,47
173,24848942440.00,4B
174,24848953260.00,45
175,24848964100.00,59
176,24848974940.00,0D
177,24848985760.00,0A
