Index,Start,Time,Type,Data,
0,254.039125 ms,8.7 ¦Ìs,TX data,24,
1,254.049975 ms,8.7 ¦Ìs,TX data,47,
2,254.060825 ms,8.7 ¦Ìs,TX data,4E,
3,254.07165 ms,8.7 ¦Ìs,TX data,54,
4,254.0825 ms,8.7 ¦Ìs,TX data,58,
5,254.093375 ms,8.7 ¦Ìs,TX data,54,
6,254.1042 ms,8.7 ¦Ìs,TX data,2C,
7,254.11505 ms,8.7 ¦Ìs,TX data,30,
8,254.1259 ms,8.7 ¦Ìs,TX data,31,
9,254.13675 ms,8.7 ¦Ìs,TX data,2C,
10,254.1476 ms,8.7 ¦Ìs,TX data,30,
11,254.15845 ms,8.7 ¦Ìs,TX data,31,
12,254.169275 ms,8.7 ¦Ìs,TX data,2C,
13,254.18015 ms,8.7 ¦Ìs,TX data,30,
14,254.191 ms,8.7 ¦Ìs,TX data,32,
15,254.201825 ms,8.7 ¦Ìs,TX data,2C,
16,254.212675 ms,8.7 ¦Ìs,TX data,75,
17,254.223525 ms,8.7 ¦Ìs,TX data,2D,
18,254.234375 ms,8.7 ¦Ìs,TX data,62,
19,254.245225 ms,8.7 ¦Ìs,TX data,6C,
20,254.256075 ms,8.7 ¦Ìs,TX data,6F,
21,254.2669 ms,8.7 ¦Ìs,TX data,78,
22,254.277775 ms,8.7 ¦Ìs,TX data,20,
23,254.288625 ms,8.7 ¦Ìs,TX data,41,
24,254.29945 ms,8.7 ¦Ìs,TX data,47,
25,254.3103 ms,8.7 ¦Ìs,TX data,20,
26,254.32115 ms,8.7 ¦Ìs,TX data,2D,
27,254.332 ms,8.7 ¦Ìs,TX data,20,
28,254.34285 ms,8.7 ¦Ìs,TX data,77,
29,254.3537 ms,8.7 ¦Ìs,TX data,77,
30,254.36455 ms,8.7 ¦Ìs,TX data,77,
31,254.3754 ms,8.7 ¦Ìs,TX data,2E,
32,254.38625 ms,8.7 ¦Ìs,TX data,75,
33,254.397075 ms,8.7 ¦Ìs,TX data,2D,
34,254.40795 ms,8.7 ¦Ìs,TX data,62,
35,254.4188 ms,8.7 ¦Ìs,TX data,6C,
36,254.429625 ms,8.7 ¦Ìs,TX data,6F,
37,254.440475 ms,8.7 ¦Ìs,TX data,78,
38,254.451325 ms,8.7 ¦Ìs,TX data,2E,
39,254.462175 ms,8.7 ¦Ìs,TX data,63,
40,254.473025 ms,8.7 ¦Ìs,TX data,6F,
41,254.483875 ms,8.7 ¦Ìs,TX data,6D,
42,254.4947 ms,8.7 ¦Ìs,TX data,2A,
43,254.505575 ms,8.7 ¦Ìs,TX data,34,
44,254.516425 ms,8.7 ¦Ìs,TX data,45,
45,254.52725 ms,8.7 ¦Ìs,TX data,0D,
46,254.5381 ms,8.7 ¦Ìs,TX data,0A,
47,254.54895 ms,8.7 ¦Ìs,TX data,24,
48,254.5598 ms,8.7 ¦Ìs,TX data,47,
49,254.57065 ms,8.7 ¦Ìs,TX data,4E,
50,254.5815 ms,8.7 ¦Ìs,TX data,54,
51,254.59235 ms,8.7 ¦Ìs,TX data,58,
52,254.6032 ms,8.7 ¦Ìs,TX data,54,
53,254.61405 ms,8.7 ¦Ìs,TX data,2C,
54,254.624875 ms,8.7 ¦Ìs,TX data,30,
55,254.635725 ms,8.7 ¦Ìs,TX data,31,
56,254.646575 ms,8.7 ¦Ìs,TX data,2C,
57,254.657425 ms,8.7 ¦Ìs,TX data,30,
58,254.668275 ms,8.7 ¦Ìs,TX data,31,
59,254.679125 ms,8.7 ¦Ìs,TX data,2C,
60,254.689975 ms,8.7 ¦Ìs,TX data,30,
61,254.700825 ms,8.7 ¦Ìs,TX data,32,
62,254.711675 ms,8.7 ¦Ìs,TX data,2C,
63,254.7225 ms,8.7 ¦Ìs,TX data,48,
64,254.733375 ms,8.7 ¦Ìs,TX data,57,
65,254.7442 ms,8.7 ¦Ìs,TX data,20,
66,254.75505 ms,8.7 ¦Ìs,TX data,55,
67,254.7659 ms,8.7 ¦Ìs,TX data,42,
68,254.77675 ms,8.7 ¦Ìs,TX data,58,
69,254.7876 ms,8.7 ¦Ìs,TX data,20,
70,254.79845 ms,8.7 ¦Ìs,TX data,31,
71,254.8093 ms,8.7 ¦Ìs,TX data,30,
72,254.82015 ms,8.7 ¦Ìs,TX data,20,
73,254.831 ms,8.7 ¦Ìs,TX data,30,
74,254.84185 ms,8.7 ¦Ìs,TX data,30,
75,254.852675 ms,8.7 ¦Ìs,TX data,30,
76,254.863525 ms,8.7 ¦Ìs,TX data,41,
77,254.874375 ms,8.7 ¦Ìs,TX data,30,
78,254.885225 ms,8.7 ¦Ìs,TX data,30,
79,254.896075 ms,8.7 ¦Ìs,TX data,30,
80,254.906925 ms,8.7 ¦Ìs,TX data,30,
81,254.917775 ms,8.7 ¦Ìs,TX data,2A,
82,254.928625 ms,8.7 ¦Ìs,TX data,35,
83,254.939475 ms,8.7 ¦Ìs,TX data,33,
84,254.9503 ms,8.7 ¦Ìs,TX data,0D,
85,254.961175 ms,8.7 ¦Ìs,TX data,0A,
86,254.972 ms,8.7 ¦Ìs,TX data,24,
87,254.98285 ms,8.7 ¦Ìs,TX data,47,
88,254.9937 ms,8.7 ¦Ìs,TX data,4E,
89,255.00455 ms,8.7 ¦Ìs,TX data,54,
90,255.0154 ms,8.7 ¦Ìs,TX data,58,
91,255.02625 ms,8.7 ¦Ìs,TX data,54,
92,255.0371 ms,8.7 ¦Ìs,TX data,2C,
93,255.04795 ms,8.7 ¦Ìs,TX data,30,
94,255.0588 ms,8.7 ¦Ìs,TX data,31,
95,255.069625 ms,8.7 ¦Ìs,TX data,2C,
96,255.080475 ms,8.7 ¦Ìs,TX data,30,
97,255.091325 ms,8.7 ¦Ìs,TX data,31,
98,255.102175 ms,8.7 ¦Ìs,TX data,2C,
99,255.113025 ms,8.7 ¦Ìs,TX data,30,
100,255.123875 ms,8.7 ¦Ìs,TX data,32,
101,255.134725 ms,8.7 ¦Ìs,TX data,2C,
102,255.145575 ms,8.7 ¦Ìs,TX data,52,
103,255.156425 ms,8.7 ¦Ìs,TX data,4F,
104,255.16725 ms,8.7 ¦Ìs,TX data,4D,
105,255.1781 ms,8.7 ¦Ìs,TX data,20,
106,255.188975 ms,8.7 ¦Ìs,TX data,53,
107,255.1998 ms,8.7 ¦Ìs,TX data,50,
108,255.21065 ms,8.7 ¦Ìs,TX data,47,
109,255.2215 ms,8.7 ¦Ìs,TX data,20,
110,255.23235 ms,8.7 ¦Ìs,TX data,35,
111,255.2432 ms,8.7 ¦Ìs,TX data,2E,
112,255.25405 ms,8.7 ¦Ìs,TX data,31,
113,255.2649 ms,8.7 ¦Ìs,TX data,30,
114,255.275725 ms,8.7 ¦Ìs,TX data,20,
115,255.2866 ms,8.7 ¦Ìs,TX data,28,
116,255.297425 ms,8.7 ¦Ìs,TX data,37,
117,255.308275 ms,8.7 ¦Ìs,TX data,62,
118,255.319125 ms,8.7 ¦Ìs,TX data,32,
119,255.329975 ms,8.7 ¦Ìs,TX data,30,
120,255.340825 ms,8.7 ¦Ìs,TX data,32,
121,255.351675 ms,8.7 ¦Ìs,TX data,65,
122,255.362525 ms,8.7 ¦Ìs,TX data,29,
123,255.373375 ms,8.7 ¦Ìs,TX data,2A,
124,255.384225 ms,8.7 ¦Ìs,TX data,37,
125,255.39505 ms,8.7 ¦Ìs,TX data,43,
126,255.4059 ms,8.7 ¦Ìs,TX data,0D,
127,255.416775 ms,8.7 ¦Ìs,TX data,0A,
128,255.4276 ms,8.7 ¦Ìs,TX data,24,
129,255.43845 ms,8.7 ¦Ìs,TX data,47,
130,255.4493 ms,8.7 ¦Ìs,TX data,4E,
131,255.46015 ms,8.7 ¦Ìs,TX data,54,
132,255.471 ms,8.7 ¦Ìs,TX data,58,
133,255.48185 ms,8.7 ¦Ìs,TX data,54,
134,255.492675 ms,8.7 ¦Ìs,TX data,2C,
135,255.503525 ms,8.7 ¦Ìs,TX data,30,
136,255.5144 ms,8.7 ¦Ìs,TX data,31,
137,255.525225 ms,8.7 ¦Ìs,TX data,2C,
138,255.536075 ms,8.7 ¦Ìs,TX data,30,
139,255.546925 ms,8.7 ¦Ìs,TX data,31,
140,255.557775 ms,8.7 ¦Ìs,TX data,2C,
141,255.568625 ms,8.7 ¦Ìs,TX data,30,
142,255.579475 ms,8.7 ¦Ìs,TX data,32,
143,255.5903 ms,8.7 ¦Ìs,TX data,2C,
144,255.601175 ms,8.7 ¦Ìs,TX data,46,
145,255.612025 ms,8.7 ¦Ìs,TX data,57,
146,255.62285 ms,8.7 ¦Ìs,TX data,56,
147,255.6337 ms,8.7 ¦Ìs,TX data,45,
148,255.644575 ms,8.7 ¦Ìs,TX data,52,
149,255.6554 ms,8.7 ¦Ìs,TX data,3D,
150,255.66625 ms,8.7 ¦Ìs,TX data,53,
151,255.6771 ms,8.7 ¦Ìs,TX data,50,
152,255.68795 ms,8.7 ¦Ìs,TX data,47,
153,255.6988 ms,8.7 ¦Ìs,TX data,20,
154,255.70965 ms,8.7 ¦Ìs,TX data,35,
155,255.720475 ms,8.7 ¦Ìs,TX data,2E,
156,255.731325 ms,8.7 ¦Ìs,TX data,31,
157,255.7422 ms,8.7 ¦Ìs,TX data,30,
158,255.753025 ms,8.7 ¦Ìs,TX data,2A,
159,255.763875 ms,8.7 ¦Ìs,TX data,34,
160,255.774725 ms,8.7 ¦Ìs,TX data,30,
161,255.785575 ms,8.7 ¦Ìs,TX data,0D,
162,255.796425 ms,8.7 ¦Ìs,TX data,0A,
163,255.807275 ms,8.7 ¦Ìs,TX data,24,
164,255.8181 ms,8.7 ¦Ìs,TX data,47,
165,255.828975 ms,8.7 ¦Ìs,TX data,4E,
166,255.839825 ms,8.7 ¦Ìs,TX data,54,
167,255.85065 ms,8.7 ¦Ìs,TX data,58,
168,255.8615 ms,8.7 ¦Ìs,TX data,54,
169,255.87235 ms,8.7 ¦Ìs,TX data,2C,
170,255.8832 ms,8.7 ¦Ìs,TX data,30,
171,255.89405 ms,8.7 ¦Ìs,TX data,31,
172,255.9049 ms,8.7 ¦Ìs,TX data,2C,
173,255.915725 ms,8.7 ¦Ìs,TX data,30,
174,255.9266 ms,8.7 ¦Ìs,TX data,31,
175,255.93745 ms,8.7 ¦Ìs,TX data,2C,
176,255.948275 ms,8.7 ¦Ìs,TX data,30,
177,255.959125 ms,8.7 ¦Ìs,TX data,32,
178,255.969975 ms,8.7 ¦Ìs,TX data,2C,
179,255.980825 ms,8.7 ¦Ìs,TX data,50,
180,255.991675 ms,8.7 ¦Ìs,TX data,52,
181,256.002525 ms,8.7 ¦Ìs,TX data,4F,
182,256.013375 ms,8.7 ¦Ìs,TX data,54,
183,256.024225 ms,8.7 ¦Ìs,TX data,56,
184,256.035075 ms,8.7 ¦Ìs,TX data,45,
185,256.0459 ms,8.7 ¦Ìs,TX data,52,
186,256.056775 ms,8.7 ¦Ìs,TX data,3D,
187,256.067625 ms,8.7 ¦Ìs,TX data,33,
188,256.07845 ms,8.7 ¦Ìs,TX data,34,
189,256.0893 ms,8.7 ¦Ìs,TX data,2E,
190,256.10015 ms,8.7 ¦Ìs,TX data,31,
191,256.111 ms,8.7 ¦Ìs,TX data,30,
192,256.12185 ms,8.7 ¦Ìs,TX data,2A,
193,256.1327 ms,8.7 ¦Ìs,TX data,31,
194,256.143525 ms,8.7 ¦Ìs,TX data,45,
195,256.1544 ms,8.7 ¦Ìs,TX data,0D,
196,256.16525 ms,8.7 ¦Ìs,TX data,0A,
197,256.176075 ms,8.7 ¦Ìs,TX data,24,
198,256.186925 ms,8.7 ¦Ìs,TX data,47,
199,256.197775 ms,8.7 ¦Ìs,TX data,4E,
200,256.208625 ms,8.7 ¦Ìs,TX data,54,
201,256.219475 ms,8.7 ¦Ìs,TX data,58,
202,256.230325 ms,8.7 ¦Ìs,TX data,54,
203,256.241175 ms,8.7 ¦Ìs,TX data,2C,
204,256.252025 ms,8.7 ¦Ìs,TX data,30,
205,256.262875 ms,8.7 ¦Ìs,TX data,31,
206,256.2737 ms,8.7 ¦Ìs,TX data,2C,
207,256.284575 ms,8.7 ¦Ìs,TX data,30,
208,256.2954 ms,8.7 ¦Ìs,TX data,31,
209,256.30625 ms,8.7 ¦Ìs,TX data,2C,
210,256.3171 ms,8.7 ¦Ìs,TX data,30,
211,256.32795 ms,8.7 ¦Ìs,TX data,32,
212,256.3388 ms,8.7 ¦Ìs,TX data,2C,
213,256.34965 ms,8.7 ¦Ìs,TX data,43,
214,256.3605 ms,8.7 ¦Ìs,TX data,48,
215,256.371325 ms,8.7 ¦Ìs,TX data,49,
216,256.3822 ms,8.7 ¦Ìs,TX data,50,
217,256.393025 ms,8.7 ¦Ìs,TX data,49,
218,256.403875 ms,8.7 ¦Ìs,TX data,44,
219,256.414725 ms,8.7 ¦Ìs,TX data,3D,
220,256.425575 ms,8.7 ¦Ìs,TX data,30,
221,256.436425 ms,8.7 ¦Ìs,TX data,30,
222,256.447275 ms,8.7 ¦Ìs,TX data,30,
223,256.458125 ms,8.7 ¦Ìs,TX data,30,
224,256.468975 ms,8.7 ¦Ìs,TX data,30,
225,256.479825 ms,8.7 ¦Ìs,TX data,30,
226,256.490675 ms,8.7 ¦Ìs,TX data,45,
227,256.5015 ms,8.7 ¦Ìs,TX data,30,
228,256.512375 ms,8.7 ¦Ìs,TX data,39,
229,256.5232 ms,8.7 ¦Ìs,TX data,35,
230,256.53405 ms,8.7 ¦Ìs,TX data,36,
231,256.5449 ms,8.7 ¦Ìs,TX data,35,
232,256.55575 ms,8.7 ¦Ìs,TX data,30,
233,256.5666 ms,8.7 ¦Ìs,TX data,46,
234,256.57745 ms,8.7 ¦Ìs,TX data,32,
235,256.5883 ms,8.7 ¦Ìs,TX data,41,
236,256.599125 ms,8.7 ¦Ìs,TX data,35,
237,256.61 ms,8.7 ¦Ìs,TX data,34,
238,256.620825 ms,8.7 ¦Ìs,TX data,2A,
239,256.631675 ms,8.7 ¦Ìs,TX data,30,
240,256.642525 ms,8.7 ¦Ìs,TX data,46,
241,256.653375 ms,8.7 ¦Ìs,TX data,0D,
242,256.664225 ms,8.7 ¦Ìs,TX data,0A,
243,256.675075 ms,8.7 ¦Ìs,TX data,24,
244,256.685925 ms,8.7 ¦Ìs,TX data,47,
245,256.696775 ms,8.7 ¦Ìs,TX data,4E,
246,256.707625 ms,8.7 ¦Ìs,TX data,54,
247,256.71845 ms,8.7 ¦Ìs,TX data,58,
248,256.7293 ms,8.7 ¦Ìs,TX data,54,
249,256.740175 ms,8.7 ¦Ìs,TX data,2C,
250,256.751 ms,8.7 ¦Ìs,TX data,30,
251,256.76185 ms,8.7 ¦Ìs,TX data,31,
252,256.7727 ms,8.7 ¦Ìs,TX data,2C,
253,256.78355 ms,8.7 ¦Ìs,TX data,30,
