Index,Start,Time,Type,Data,
0,1.675 ¦Ìs,8.7 ¦Ìs,RX data,90,
1,1.675 ¦Ìs,8.7 ¦Ìs,TX data,F9,
2,1.052282 s,8.7 ¦Ìs,RX data,B5,
3,1.052294 s,8.7 ¦Ìs,RX data,62,
4,1.052306 s,8.7 ¦Ìs,RX data,0A,
5,1.052318 s,8.7 ¦Ìs,RX data,04,
6,1.05233 s,8.7 ¦Ìs,RX data,00,
7,1.052341 s,8.7 ¦Ìs,RX data,00,
8,1.052353 s,8.7 ¦Ìs,RX data,0E,
9,1.052365 s,8.7 ¦Ìs,RX data,34,
10,1.140283 s,8.7 ¦Ìs,TX data,B5,
11,1.140294 s,8.7 ¦Ìs,TX data,62,
12,1.140305 s,8.7 ¦Ìs,TX data,0A,
13,1.140316 s,8.7 ¦Ìs,TX data,04,
14,1.140327 s,8.7 ¦Ìs,TX data,A0,
15,1.140338 s,8.7 ¦Ìs,TX data,00,
16,1.140349 s,8.7 ¦Ìs,TX data,52,
17,1.140359 s,8.7 ¦Ìs,TX data,4F,
18,1.14037 s,8.7 ¦Ìs,TX data,4D,
19,1.140381 s,8.7 ¦Ìs,TX data,20,
20,1.140392 s,8.7 ¦Ìs,TX data,53,
21,1.140403 s,8.7 ¦Ìs,TX data,50,
22,1.140414 s,8.7 ¦Ìs,TX data,47,
23,1.140425 s,8.7 ¦Ìs,TX data,20,
24,1.140435 s,8.7 ¦Ìs,TX data,35,
25,1.140446 s,8.7 ¦Ìs,TX data,2E,
26,1.140457 s,8.7 ¦Ìs,TX data,31,
27,1.140468 s,8.7 ¦Ìs,TX data,30,
28,1.140479 s,8.7 ¦Ìs,TX data,20,
29,1.14049 s,8.7 ¦Ìs,TX data,28,
30,1.140501 s,8.7 ¦Ìs,TX data,37,
31,1.140511 s,8.7 ¦Ìs,TX data,62,
32,1.140522 s,8.7 ¦Ìs,TX data,32,
33,1.140533 s,8.7 ¦Ìs,TX data,30,
34,1.140544 s,8.7 ¦Ìs,TX data,32,
35,1.140555 s,8.7 ¦Ìs,TX data,65,
36,1.140566 s,8.7 ¦Ìs,TX data,29,
37,1.140577 s,8.7 ¦Ìs,TX data,00,
38,1.140587 s,8.7 ¦Ìs,TX data,00,
39,1.140598 s,8.7 ¦Ìs,TX data,00,
40,1.140609 s,8.7 ¦Ìs,TX data,00,
41,1.14062 s,8.7 ¦Ìs,TX data,00,
42,1.140631 s,8.7 ¦Ìs,TX data,00,
43,1.140642 s,8.7 ¦Ìs,TX data,00,
44,1.140653 s,8.7 ¦Ìs,TX data,00,
45,1.140663 s,8.7 ¦Ìs,TX data,00,
46,1.140674 s,8.7 ¦Ìs,TX data,30,
47,1.140685 s,8.7 ¦Ìs,TX data,30,
48,1.140696 s,8.7 ¦Ìs,TX data,31,
49,1.140707 s,8.7 ¦Ìs,TX data,39,
50,1.140718 s,8.7 ¦Ìs,TX data,30,
51,1.140729 s,8.7 ¦Ìs,TX data,30,
52,1.14074 s,8.7 ¦Ìs,TX data,30,
53,1.14075 s,8.7 ¦Ìs,TX data,30,
54,1.140761 s,8.7 ¦Ìs,TX data,00,
55,1.140772 s,8.7 ¦Ìs,TX data,00,
56,1.140783 s,8.7 ¦Ìs,TX data,46,
57,1.140794 s,8.7 ¦Ìs,TX data,57,
58,1.140805 s,8.7 ¦Ìs,TX data,56,
59,1.140816 s,8.7 ¦Ìs,TX data,45,
60,1.140826 s,8.7 ¦Ìs,TX data,52,
61,1.140837 s,8.7 ¦Ìs,TX data,3D,
62,1.140848 s,8.7 ¦Ìs,TX data,53,
63,1.140859 s,8.7 ¦Ìs,TX data,50,
64,1.14087 s,8.7 ¦Ìs,TX data,47,
65,1.140881 s,8.7 ¦Ìs,TX data,20,
66,1.140892 s,8.7 ¦Ìs,TX data,35,
67,1.140902 s,8.7 ¦Ìs,TX data,2E,
68,1.140913 s,8.7 ¦Ìs,TX data,31,
69,1.140924 s,8.7 ¦Ìs,TX data,30,
70,1.140935 s,8.7 ¦Ìs,TX data,00,
71,1.140946 s,8.7 ¦Ìs,TX data,00,
72,1.140957 s,8.7 ¦Ìs,TX data,00,
73,1.140968 s,8.7 ¦Ìs,TX data,00,
74,1.140978 s,8.7 ¦Ìs,TX data,00,
75,1.140989 s,8.7 ¦Ìs,TX data,00,
76,1.141 s,8.7 ¦Ìs,TX data,00,
77,1.141011 s,8.7 ¦Ìs,TX data,00,
78,1.141022 s,8.7 ¦Ìs,TX data,00,
79,1.141033 s,8.7 ¦Ìs,TX data,00,
80,1.141044 s,8.7 ¦Ìs,TX data,00,
81,1.141054 s,8.7 ¦Ìs,TX data,00,
82,1.141065 s,8.7 ¦Ìs,TX data,00,
83,1.141076 s,8.7 ¦Ìs,TX data,00,
84,1.141087 s,8.7 ¦Ìs,TX data,00,
85,1.141098 s,8.7 ¦Ìs,TX data,00,
86,1.141109 s,8.7 ¦Ìs,TX data,50,
87,1.14112 s,8.7 ¦Ìs,TX data,52,
88,1.14113 s,8.7 ¦Ìs,TX data,4F,
89,1.141141 s,8.7 ¦Ìs,TX data,54,
90,1.141152 s,8.7 ¦Ìs,TX data,56,
91,1.141163 s,8.7 ¦Ìs,TX data,45,
92,1.141174 s,8.7 ¦Ìs,TX data,52,
93,1.141185 s,8.7 ¦Ìs,TX data,3D,
94,1.141196 s,8.7 ¦Ìs,TX data,33,
95,1.141206 s,8.7 ¦Ìs,TX data,34,
96,1.141217 s,8.7 ¦Ìs,TX data,2E,
97,1.141228 s,8.7 ¦Ìs,TX data,31,
98,1.141239 s,8.7 ¦Ìs,TX data,30,
99,1.14125 s,8.7 ¦Ìs,TX data,00,
100,1.141261 s,8.7 ¦Ìs,TX data,00,
101,1.141272 s,8.7 ¦Ìs,TX data,00,
102,1.141282 s,8.7 ¦Ìs,TX data,00,
103,1.141293 s,8.7 ¦Ìs,TX data,00,
104,1.141304 s,8.7 ¦Ìs,TX data,00,
105,1.141315 s,8.7 ¦Ìs,TX data,00,
106,1.141326 s,8.7 ¦Ìs,TX data,00,
107,1.141337 s,8.7 ¦Ìs,TX data,00,
108,1.141348 s,8.7 ¦Ìs,TX data,00,
109,1.141358 s,8.7 ¦Ìs,TX data,00,
110,1.141369 s,8.7 ¦Ìs,TX data,00,
111,1.14138 s,8.7 ¦Ìs,TX data,00,
112,1.141391 s,8.7 ¦Ìs,TX data,00,
113,1.141402 s,8.7 ¦Ìs,TX data,00,
114,1.141413 s,8.7 ¦Ìs,TX data,00,
115,1.141424 s,8.7 ¦Ìs,TX data,00,
116,1.141435 s,8.7 ¦Ìs,TX data,47,
117,1.141445 s,8.7 ¦Ìs,TX data,50,
118,1.141456 s,8.7 ¦Ìs,TX data,53,
119,1.141467 s,8.7 ¦Ìs,TX data,3B,
120,1.141478 s,8.7 ¦Ìs,TX data,47,
121,1.141489 s,8.7 ¦Ìs,TX data,4C,
122,1.1415 s,8.7 ¦Ìs,TX data,4F,
123,1.141511 s,8.7 ¦Ìs,TX data,3B,
124,1.141521 s,8.7 ¦Ìs,TX data,47,
125,1.141532 s,8.7 ¦Ìs,TX data,41,
126,1.141543 s,8.7 ¦Ìs,TX data,4C,
127,1.141554 s,8.7 ¦Ìs,TX data,3B,
128,1.141565 s,8.7 ¦Ìs,TX data,42,
129,1.141576 s,8.7 ¦Ìs,TX data,44,
130,1.141587 s,8.7 ¦Ìs,TX data,53,
131,1.141597 s,8.7 ¦Ìs,TX data,00,
132,1.141608 s,8.7 ¦Ìs,TX data,00,
133,1.141619 s,8.7 ¦Ìs,TX data,00,
134,1.14163 s,8.7 ¦Ìs,TX data,00,
135,1.141641 s,8.7 ¦Ìs,TX data,00,
136,1.141652 s,8.7 ¦Ìs,TX data,00,
137,1.141663 s,8.7 ¦Ìs,TX data,00,
138,1.141673 s,8.7 ¦Ìs,TX data,00,
139,1.141684 s,8.7 ¦Ìs,TX data,00,
140,1.141695 s,8.7 ¦Ìs,TX data,00,
141,1.141706 s,8.7 ¦Ìs,TX data,00,
142,1.141717 s,8.7 ¦Ìs,TX data,00,
143,1.141728 s,8.7 ¦Ìs,TX data,00,
144,1.141739 s,8.7 ¦Ìs,TX data,00,
145,1.141749 s,8.7 ¦Ìs,TX data,00,
146,1.14176 s,8.7 ¦Ìs,TX data,53,
147,1.141771 s,8.7 ¦Ìs,TX data,42,
148,1.141782 s,8.7 ¦Ìs,TX data,41,
149,1.141793 s,8.7 ¦Ìs,TX data,53,
150,1.141804 s,8.7 ¦Ìs,TX data,3B,
151,1.141815 s,8.7 ¦Ìs,TX data,51,
152,1.141825 s,8.7 ¦Ìs,TX data,5A,
153,1.141836 s,8.7 ¦Ìs,TX data,53,
154,1.141847 s,8.7 ¦Ìs,TX data,53,
155,1.141858 s,8.7 ¦Ìs,TX data,00,
156,1.141869 s,8.7 ¦Ìs,TX data,00,
157,1.14188 s,8.7 ¦Ìs,TX data,00,
158,1.141891 s,8.7 ¦Ìs,TX data,00,
159,1.141901 s,8.7 ¦Ìs,TX data,00,
160,1.141912 s,8.7 ¦Ìs,TX data,00,
161,1.141923 s,8.7 ¦Ìs,TX data,00,
162,1.141934 s,8.7 ¦Ìs,TX data,00,
163,1.141945 s,8.7 ¦Ìs,TX data,00,
164,1.141956 s,8.7 ¦Ìs,TX data,00,
165,1.141967 s,8.7 ¦Ìs,TX data,00,
166,1.141977 s,8.7 ¦Ìs,TX data,00,
167,1.141988 s,8.7 ¦Ìs,TX data,00,
168,1.141999 s,8.7 ¦Ìs,TX data,00,
169,1.14201 s,8.7 ¦Ìs,TX data,00,
170,1.142021 s,8.7 ¦Ìs,TX data,00,
171,1.142032 s,8.7 ¦Ìs,TX data,00,
172,1.142043 s,8.7 ¦Ìs,TX data,00,
173,1.142054 s,8.7 ¦Ìs,TX data,00,
174,1.142064 s,8.7 ¦Ìs,TX data,00,
175,1.142075 s,8.7 ¦Ìs,TX data,00,
176,1.142086 s,8.7 ¦Ìs,TX data,F0,
177,1.142097 s,8.7 ¦Ìs,TX data,9C,
