Index,Start,Time,Type,Data,
0,1.027104 s,8.7 ¦Ìs,RX data,B5,
1,1.027116 s,8.7 ¦Ìs,RX data,62,
2,1.027128 s,8.7 ¦Ìs,RX data,0A,
3,1.02714 s,8.7 ¦Ìs,RX data,04,
4,1.027151 s,8.7 ¦Ìs,RX data,00,
5,1.027163 s,8.7 ¦Ìs,RX data,00,
6,1.027175 s,8.7 ¦Ìs,RX data,0E,
7,1.027187 s,8.7 ¦Ìs,RX data,34,
8,1.027667 s,8.7 ¦Ìs,TX data,B5,
9,1.027678 s,8.7 ¦Ìs,TX data,62,
10,1.027689 s,8.7 ¦Ìs,TX data,0A,
11,1.0277 s,8.7 ¦Ìs,TX data,04,
12,1.027711 s,8.7 ¦Ìs,TX data,A0,
13,1.027722 s,8.7 ¦Ìs,TX data,00,
14,1.027732 s,8.7 ¦Ìs,TX data,52,
15,1.027743 s,8.7 ¦Ìs,TX data,4F,
16,1.027754 s,8.7 ¦Ìs,TX data,4D,
17,1.027765 s,8.7 ¦Ìs,TX data,20,
18,1.027776 s,8.7 ¦Ìs,TX data,53,
19,1.027787 s,8.7 ¦Ìs,TX data,50,
20,1.027798 s,8.7 ¦Ìs,TX data,47,
21,1.027808 s,8.7 ¦Ìs,TX data,20,
22,1.027819 s,8.7 ¦Ìs,TX data,35,
23,1.02783 s,8.7 ¦Ìs,TX data,2E,
24,1.027841 s,8.7 ¦Ìs,TX data,31,
25,1.027852 s,8.7 ¦Ìs,TX data,30,
26,1.027863 s,8.7 ¦Ìs,TX data,20,
27,1.027874 s,8.7 ¦Ìs,TX data,28,
28,1.027884 s,8.7 ¦Ìs,TX data,37,
29,1.027895 s,8.7 ¦Ìs,TX data,62,
30,1.027906 s,8.7 ¦Ìs,TX data,32,
31,1.027917 s,8.7 ¦Ìs,TX data,30,
32,1.027928 s,8.7 ¦Ìs,TX data,32,
33,1.027939 s,8.7 ¦Ìs,TX data,65,
34,1.02795 s,8.7 ¦Ìs,TX data,29,
35,1.027961 s,8.7 ¦Ìs,TX data,00,
36,1.027971 s,8.7 ¦Ìs,TX data,00,
37,1.027982 s,8.7 ¦Ìs,TX data,00,
38,1.027993 s,8.7 ¦Ìs,TX data,00,
39,1.028004 s,8.7 ¦Ìs,TX data,00,
40,1.028015 s,8.7 ¦Ìs,TX data,00,
