Id,Time[ns],0:UART: RX/TX
1,1200322700.00,F8
2,2644599250.00,B5
3,2644610100.00,62
4,2644620950.00,0A
5,2644631800.00,04
6,2644642650.00,A0
7,2644653500.00,00
8,2644664350.00,52
9,2644675200.00,4F
10,2644686000.00,4D
11,2644696900.00,20
12,2644707700.00,53
13,2644718550.00,50
14,2644729400.00,47
15,2644740250.00,20
16,2644751100.00,35
17,2644761950.00,2E
18,2644772800.00,31
19,2644783650.00,30
20,2644794500.00,20
21,2644805350.00,28
22,2644816200.00,37
23,2644827050.00,62
24,2644837900.00,32
25,2644848750.00,30
26,2644859600.00,32
27,2644870450.00,65
28,2644881300.00,29
29,2644892150.00,00
30,2644903000.00,00
31,2644913850.00,00
32,2644924700.00,00
33,2644935550.00,00
34,2644946400.00,00
35,2644957250.00,00
36,2644968100.00,00
37,2644978950.00,00
38,2644989800.00,30
39,2645000650.00,30
40,2645011500.00,30
41,2645022350.00,41
42,2645033200.00,30
43,2645044050.00,30
44,2645054900.00,30
45,2645065750.00,30
46,2645076600.00,00
47,2645087450.00,00
48,2645098300.00,46
49,2645109150.00,57
50,2645120000.00,56
51,2645130850.00,45
52,2645141700.00,52
53,2645152550.00,3D
54,2645163400.00,53
55,2645174250.00,50
56,2645185100.00,47
57,2645195950.00,20
58,2645206800.00,35
59,2645217650.00,2E
60,2645228500.00,31
61,2645239350.00,30
62,2645250200.00,00
63,2645261050.00,00
64,2645271900.00,00
65,2645282750.00,00
66,2645293600.00,00
67,2645304450.00,00
68,2645315300.00,00
69,2645326150.00,00
70,2645337000.00,00
71,2645347850.00,00
72,2645358700.00,00
73,2645369550.00,00
74,2645380400.00,00
75,2645391250.00,00
76,2645402100.00,00
77,2645412950.00,00
78,2645423800.00,50
79,2645434650.00,52
80,2645445500.00,4F
81,2645456350.00,54
82,2645467200.00,56
83,2645478050.00,45
84,2645488900.00,52
85,2645499750.00,3D
86,2645510600.00,33
87,2645521450.00,34
88,2645532300.00,2E
89,2645543150.00,31
90,2645553950.00,30
91,2645564850.00,00
92,2645575650.00,00
93,2645586550.00,00
94,2645597350.00,00
95,2645608250.00,00
96,2645619050.00,00
97,2645629950.00,00
98,2645640750.00,00
99,2645651650.00,00
100,2645662450.00,00
101,2645673300.00,00
102,2645684150.00,00
103,2645695000.00,00
104,2645705850.00,00
105,2645716700.00,00
106,2645727550.00,00
107,2645738400.00,00
108,2645749250.00,47
109,2645760100.00,50
110,2645770950.00,53
111,2645781800.00,3B
112,2645792650.00,47
113,2645803500.00,4C
114,2645814350.00,4F
115,2645825200.00,3B
