Id,Time[ns],0:UART: RX/TX
1,1199998050.00,C0
2,1200068150.00,00
3,1445506200.00,24
4,1445517050.00,47
5,1445527900.00,4E
6,1445538750.00,54
7,1445549600.00,58
8,1445560450.00,54
9,1445571300.00,2C
10,1445582150.00,30
11,1445593000.00,31
12,1445603850.00,2C
13,1445614700.00,30
14,1445625550.00,31
15,1445636400.00,2C
16,1445647250.00,30
17,1445658050.00,32
18,1445668900.00,2C
19,1445679750.00,75
20,1445690600.00,2D
21,1445701450.00,62
22,1445712300.00,6C
23,1445723150.00,6F
24,1445734000.00,78
25,1445744850.00,20
26,1445755700.00,41
27,1445766550.00,47
28,1445777400.00,20
29,1445788250.00,2D
30,1445799100.00,20
31,1445809950.00,77
32,1445820800.00,77
33,1445831650.00,77
34,1445842500.00,2E
35,1445853350.00,75
36,1445864200.00,2D
37,1445875050.00,62
38,1445885850.00,6C
39,1445896700.00,6F
40,1445907550.00,78
41,1445918400.00,2E
42,1445929250.00,63
43,1445940100.00,6F
44,1445950950.00,6D
45,1445961800.00,2A
46,1445972650.00,34
47,1445983500.00,45
48,1445994350.00,0D
49,1446005200.00,0A
50,1446016050.00,24
51,1446026900.00,47
52,1446037750.00,4E
53,1446048600.00,54
54,1446059450.00,58
55,1446070300.00,54
56,1446081100.00,2C
57,1446091950.00,30
58,1446102850.00,31
59,1446113650.00,2C
60,1446124500.00,30
61,1446135350.00,31
62,1446146200.00,2C
63,1446157050.00,30
64,1446167900.00,32
65,1446178750.00,2C
66,1446189600.00,48
67,1446200450.00,57
68,1446211300.00,20
69,1446222150.00,55
70,1446233000.00,42
71,1446243850.00,58
72,1446254700.00,20
73,1446265550.00,31
74,1446276400.00,30
75,1446287250.00,20
76,1446298100.00,30
77,1446308900.00,30
78,1446319750.00,30
79,1446330600.00,41
80,1446341450.00,30
81,1446352300.00,30
82,1446363150.00,30
83,1446374000.00,30
84,1446384850.00,2A
85,1446395700.00,35
86,1446406550.00,33
87,1446417400.00,0D
88,1446428250.00,0A
89,1446439100.00,24
90,1446449950.00,47
91,1446460800.00,4E
92,1446471650.00,54
93,1446482500.00,58
94,1446493350.00,54
95,1446504200.00,2C
96,1446515050.00,30
97,1446525850.00,31
98,1446536700.00,2C
99,1446547550.00,30
100,1446558400.00,31
101,1446569250.00,2C
102,1446580100.00,30
103,1446590950.00,32
104,1446601800.00,2C
105,1446612650.00,52
106,1446623500.00,4F
107,1446634350.00,4D
108,1446645200.00,20
109,1446656050.00,53
110,1446666900.00,50
111,1446677750.00,47
112,1446688600.00,20
113,1446699450.00,35
114,1446710300.00,2E
115,1446721150.00,31
116,1446731950.00,30
117,1446742850.00,20
118,1446753650.00,28
119,1446764500.00,37
120,1446775350.00,62
121,1446786200.00,32
122,1446797050.00,30
123,1446807900.00,32
124,1446818750.00,65
125,1446829600.00,29
126,1446840450.00,2A
127,1446851300.00,37
128,1446862150.00,43
129,1446873000.00,0D
130,1446883850.00,0A
131,1446894700.00,24
132,1446905550.00,47
133,1446916400.00,4E
134,1446927250.00,54
135,1446938100.00,58
136,1446948900.00,54
137,1446959750.00,2C
138,1446970650.00,30
139,1446981450.00,31
140,1446992300.00,2C
141,1447003150.00,30
142,1447014000.00,31
143,1447024850.00,2C
144,1447035700.00,30
145,1447046550.00,32
146,1447057400.00,2C
147,1447068250.00,46
148,1447079100.00,57
149,1447089950.00,56
150,1447100800.00,45
151,1447111650.00,52
152,1447122500.00,3D
153,1447133350.00,53
154,1447144200.00,50
155,1447155050.00,47
156,1447165850.00,20
157,1447176700.00,35
158,1447187550.00,2E
159,1447198400.00,31
160,1447209250.00,30
161,1447220100.00,2A
162,1447230950.00,34
163,1447241800.00,30
164,1447252650.00,0D
165,1447263500.00,0A
166,1447274350.00,24
167,1447285200.00,47
168,1447296050.00,4E
169,1447306900.00,54
170,1447317750.00,58
171,1447328600.00,54
172,1447339450.00,2C
173,1447350300.00,30
174,1447361150.00,31
175,1447371950.00,2C
176,1447382850.00,30
177,1447393650.00,31
178,1447404500.00,2C
179,1447415350.00,30
180,1447426200.00,32
181,1447437050.00,2C
182,1447447900.00,50
183,1447458750.00,52
184,1447469600.00,4F
185,1447480450.00,54
186,1447491300.00,56
187,1447502150.00,45
188,1447513000.00,52
189,1447523850.00,3D
190,1447534700.00,33
191,1447545550.00,34
192,1447556400.00,2E
193,1447567250.00,31
194,1447578100.00,30
195,1447588900.00,2A
196,1447599750.00,31
197,1447610650.00,45
198,1447621450.00,0D
199,1447632300.00,0A
200,1447643150.00,24
201,1447654000.00,47
202,1447664850.00,4E
203,1447675700.00,54
204,1447686550.00,58
205,1447697400.00,54
206,1447708250.00,2C
207,1447719100.00,30
208,1447729950.00,31
209,1447740800.00,2C
210,1447751650.00,30
211,1447762500.00,31
212,1447773350.00,2C
213,1447784200.00,30
214,1447795050.00,32
215,1447805900.00,2C
216,1447816700.00,43
217,1447827550.00,48
218,1447838400.00,49
219,1447849250.00,50
220,1447860100.00,49
221,1447870950.00,44
222,1447881800.00,3D
223,1447892650.00,30
224,1447903500.00,30
225,1447914350.00,30
226,1447925200.00,30
227,1447936050.00,30
228,1447946900.00,30
229,1447957750.00,45
230,1447968600.00,30
231,1447979450.00,39
232,1447990300.00,35
233,1448001150.00,36
234,1448011950.00,35
235,1448022850.00,30
236,1448033650.00,46
237,1448044500.00,32
238,1448055350.00,41
239,1448066200.00,35
240,1448077050.00,34
241,1448087900.00,2A
242,1448098750.00,30
243,1448109600.00,46
244,1448120450.00,0D
245,1448131300.00,0A
246,1448142150.00,24
247,1448153000.00,47
248,1448163850.00,4E
249,1448174700.00,54
250,1448185550.00,58
251,1448196400.00,54
252,1448207250.00,2C
253,1448218100.00,30
254,1448228950.00,31
255,1448239750.00,2C
256,1448250650.00,30
257,1448261450.00,31
258,1448272300.00,2C
259,1448283150.00,30
260,1448294000.00,32
261,1448304850.00,2C
262,1448315700.00,47
263,1448326550.00,50
264,1448337400.00,53
265,1448348250.00,3B
266,1448359100.00,47
267,1448369950.00,4C
268,1448380800.00,4F
269,1448391650.00,3B
270,1448402500.00,47
271,1448413350.00,41
272,1448424200.00,4C
273,1448435050.00,3B
274,1448445900.00,42
275,1448456700.00,44
276,1448467550.00,53
277,1448478450.00,2A
278,1448489250.00,37
279,1448500100.00,37
280,1448510950.00,0D
281,1448521800.00,0A
282,1448532650.00,24
283,1448543500.00,47
284,1448554350.00,4E
285,1448565200.00,54
286,1448576050.00,58
287,1448586900.00,54
288,1448597750.00,2C
289,1448608600.00,30
290,1448619450.00,31
291,1448630300.00,2C
292,1448641150.00,30
293,1448651950.00,31
294,1448662850.00,2C
295,1448673650.00,30
296,1448684500.00,32
297,1448695350.00,2C
298,1448706200.00,53
299,1448717050.00,42
300,1448727900.00,41
301,1448738750.00,53
302,1448749600.00,3B
303,1448760450.00,51
304,1448771300.00,5A
305,1448782150.00,53
306,1448793000.00,53
307,1448803850.00,2A
