Index,Start,Time,Type,Data,
0,1.027104 s,8.7 ¦Ìs,RX data,B5,
1,1.027116 s,8.7 ¦Ìs,RX data,62,
2,1.027128 s,8.7 ¦Ìs,RX data,0A,
3,1.02714 s,8.7 ¦Ìs,RX data,04,
4,1.027151 s,8.7 ¦Ìs,RX data,00,
5,1.027163 s,8.7 ¦Ìs,RX data,00,
6,1.027175 s,8.7 ¦Ìs,RX data,0E,
7,1.027187 s,8.7 ¦Ìs,RX data,34,
8,1.029792 s,8.7 ¦Ìs,RX data,B5,
9,1.029804 s,8.7 ¦Ìs,RX data,62,
10,1.029816 s,8.7 ¦Ìs,RX data,06,
11,1.029828 s,8.7 ¦Ìs,RX data,8A,
12,1.02984 s,8.7 ¦Ìs,RX data,0E,
13,1.029852 s,8.7 ¦Ìs,RX data,00,
14,1.029864 s,8.7 ¦Ìs,RX data,00,
15,1.029876 s,8.7 ¦Ìs,RX data,01,
16,1.029887 s,8.7 ¦Ìs,RX data,00,
17,1.029899 s,8.7 ¦Ìs,RX data,00,
18,1.029911 s,8.7 ¦Ìs,RX data,01,
19,1.029923 s,8.7 ¦Ìs,RX data,00,
20,1.029935 s,8.7 ¦Ìs,RX data,74,
21,1.029947 s,8.7 ¦Ìs,RX data,10,
22,1.029959 s,8.7 ¦Ìs,RX data,01,
23,1.029971 s,8.7 ¦Ìs,RX data,02,
24,1.029983 s,8.7 ¦Ìs,RX data,00,
25,1.029995 s,8.7 ¦Ìs,RX data,74,
26,1.030006 s,8.7 ¦Ìs,RX data,10,
27,1.030018 s,8.7 ¦Ìs,RX data,00,
28,1.03003 s,8.7 ¦Ìs,RX data,AB,
29,1.030042 s,8.7 ¦Ìs,RX data,29,
30,1.049797 s,8.7 ¦Ìs,RX data,B5,
31,1.049809 s,8.7 ¦Ìs,RX data,62,
32,1.049821 s,8.7 ¦Ìs,RX data,06,
33,1.049832 s,8.7 ¦Ìs,RX data,8A,
34,1.049844 s,8.7 ¦Ìs,RX data,0E,
35,1.049856 s,8.7 ¦Ìs,RX data,00,
36,1.049868 s,8.7 ¦Ìs,RX data,00,
37,1.04988 s,8.7 ¦Ìs,RX data,01,
38,1.049892 s,8.7 ¦Ìs,RX data,00,
39,1.049904 s,8.7 ¦Ìs,RX data,00,
40,1.049916 s,8.7 ¦Ìs,RX data,01,
